Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,0,1.35644531,0.12320063,1.31738281,0.12475586,0.95654297,0.14074707,0.17479858,0.03208753,0.21885376,0.16430664
0,0,1,1.56586914,0.26113279,1.49707031,0.23657227,1.07617188,0.18334961,0.22446289,0.04348087,0.27263184,0.22180176
0,0,2,1.50424805,0.20384284,1.45507812,0.19799805,1.07910156,0.10015869,0.23722534,0.02654274,0.28734131,0.24145508
0,0,3,1.42622070,0.11501712,1.39746094,0.11816406,1.15234375,0.12634277,0.27255249,0.03783358,0.32136230,0.27612305
0,0,4,1.52851563,0.16526964,1.50878906,0.16918945,1.25292969,0.14196777,0.29730225,0.04582430,0.34765625,0.27807617
0,0,5,1.66040039,0.21108006,1.63671875,0.21411133,1.31542969,0.13525391,0.28747559,0.02326437,0.34609375,0.30664062
0,0,6,1.57431641,0.10663593,1.55273438,0.11187744,1.34472656,0.11523438,0.31287842,0.02652557,0.36940918,0.31982422
0,0,7,1.58779297,0.12959610,1.57519531,0.12915039,1.35546875,0.09991455,0.31892090,0.03408785,0.37570801,0.32397461
0,0,8,1.62490234,0.16264997,1.60839844,0.16870117,1.34667969,0.08300781,0.32110596,0.02227787,0.38150635,0.34179688
0,0,9,1.51376953,0.07570967,1.49707031,0.07513428,1.27246094,0.05767822,0.31782227,0.02547951,0.37088623,0.33984375
0,0,10,1.60107422,0.16131604,1.59179688,0.16137695,1.39062500,0.10809326,0.33812256,0.02560725,0.39875488,0.36132812
0,0,11,1.63325195,0.13815425,1.61718750,0.13806152,1.40722656,0.12402344,0.34414062,0.02795985,0.40393066,0.35864258
0,200,0,1.36062012,0.26045155,1.30273438,0.25390625,0.86376953,0.18566895,0.14232178,0.03083264,0.18728027,0.09619141
0,200,1,1.43012695,0.24848378,1.36816406,0.25512695,0.97656250,0.23486328,0.18691101,0.05180730,0.23051758,0.11669922
0,200,2,1.50026855,0.28836237,1.45507812,0.29809570,0.96142578,0.18298340,0.18813477,0.04097276,0.23298340,0.13549805
0,200,3,1.37529297,0.17855935,1.32324219,0.16442871,0.97705078,0.18273926,0.20480347,0.04557537,0.24830933,0.15588379
0,200,4,1.46962891,0.19675442,1.41503906,0.19775391,1.02636719,0.19519043,0.22766724,0.04493357,0.27106934,0.18200684
0,200,5,1.46645508,0.20890182,1.41113281,0.19628906,1.04687500,0.19042969,0.23028564,0.04325252,0.27471924,0.19140625
0,200,6,1.45502930,0.18853790,1.41699219,0.18566895,1.10351562,0.17272949,0.24168701,0.04242548,0.28974609,0.20678711
0,200,7,1.54003906,0.16251538,1.50292969,0.18005371,1.17968750,0.16687012,0.25980225,0.04147949,0.30988159,0.22485352
0,200,8,1.53432617,0.19059270,1.48632812,0.19604492,1.13085938,0.13439941,0.25856323,0.03398253,0.30762329,0.23205566
0,200,9,1.46723633,0.22249718,1.42382812,0.22375488,1.06933594,0.16528320,0.24923096,0.04017614,0.29273682,0.21850586
0,200,10,1.47338867,0.22412202,1.44628906,0.22253418,1.19238281,0.19213867,0.27416382,0.04110166,0.33041992,0.24462891
0,200,11,1.51171875,0.14264299,1.48437500,0.14733887,1.20117188,0.17114258,0.28108521,0.04255696,0.33061523,0.24926758
0,400,0,1.41313477,0.14911648,1.36816406,0.15173340,1.00000000,0.15881348,0.17728271,0.04332778,0.23107910,0.17187500
0,400,1,1.59018555,0.17940260,1.53417969,0.18786621,1.14160156,0.24389648,0.22528076,0.07162437,0.27993164,0.17724609
0,400,2,1.72431641,0.16775147,1.67382812,0.17578125,1.07324219,0.17358398,0.21713867,0.04519833,0.26610107,0.19787598
0,400,3,1.46474609,0.14982483,1.41992188,0.15600586,1.11523438,0.18701172,0.24749756,0.05342123,0.29428101,0.20458984
0,400,4,1.60258789,0.14216264,1.55664062,0.15234375,1.19042969,0.21301270,0.25042114,0.05472175,0.30166016,0.21594238
0,400,5,1.58564453,0.21731996,1.53906250,0.23205566,1.18457031,0.23352051,0.26264648,0.05524938,0.31347046,0.20690918
0,400,6,1.50083008,0.10248011,1.47070312,0.11395264,1.19824219,0.16125488,0.27176514,0.05039897,0.32352295,0.22827148
0,400,7,1.50854492,0.13031014,1.48535156,0.13464355,1.23144531,0.16247559,0.27868042,0.04838895,0.33860474,0.22814941
0,400,8,1.59316406,0.11603042,1.55859375,0.11499023,1.20800781,0.14074707,0.27753296,0.04114357,0.33158569,0.23522949
0,400,9,1.52114258,0.17429583,1.49316406,0.17822266,1.17382812,0.16528320,0.27086182,0.04199323,0.32601929,0.21484375
0,400,10,1.52343750,0.14692122,1.49804688,0.15832520,1.25000000,0.18054199,0.29092407,0.04266410,0.35033569,0.23083496
0,400,11,1.48085938,0.12696980,1.45117188,0.12829590,1.22167969,0.18432617,0.30166626,0.05296013,0.35640259,0.23095703
0,600,0,1.44541016,0.17930493,1.39746094,0.17956543,1.05957031,0.21813965,0.22023926,0.08296248,0.26956177,0.16870117
