Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,0,0.77185059,0.11036905,0.73291016,0.10186768,0.50537109,0.07824707,0.11473694,0.02041962,0.13612671,0.10296631
0,0,1,0.80285645,0.10397099,0.77832031,0.10516357,0.58544922,0.10284424,0.13636169,0.02424875,0.16119995,0.12817383
0,0,2,0.85178223,0.10414885,0.82812500,0.10272217,0.63671875,0.08111572,0.14942017,0.01683325,0.17551880,0.15209961
0,0,3,0.86166992,0.08736689,0.84277344,0.08789062,0.67968750,0.09173584,0.16495361,0.02094543,0.19372559,0.15747070
0,0,4,0.99233398,0.08179959,0.96777344,0.08325195,0.76269531,0.08135986,0.17548828,0.02107014,0.20764160,0.17126465
0,0,5,0.91997070,0.08089465,0.90039062,0.08465576,0.72607422,0.06878662,0.16872559,0.01467408,0.20045166,0.17724609
0,0,6,0.98452148,0.11240772,0.95996094,0.11138916,0.76660156,0.07470703,0.18317261,0.01910463,0.21283569,0.17272949
0,0,7,0.97697754,0.09986447,0.95703125,0.10162354,0.77832031,0.09948730,0.17568970,0.01818794,0.20789795,0.17431641
0,0,8,0.96950684,0.07267218,0.94824219,0.07293701,0.78955078,0.06457520,0.18533325,0.01404286,0.22151489,0.20031738
0,0,9,0.99169922,0.11873490,0.97412109,0.11779785,0.80078125,0.10162354,0.17444458,0.01216800,0.21070557,0.19116211
0,0,10,1.00439453,0.06249123,0.98876953,0.06311035,0.82910156,0.05975342,0.20179443,0.01465250,0.23793335,0.21081543
0,0,11,1.00439453,0.07362384,0.99072266,0.07598877,0.83740234,0.06396484,0.18933105,0.02032868,0.22714844,0.19348145
0,200,0,0.68218994,0.13732505,0.64843750,0.12609863,0.44433594,0.09161377,0.10028381,0.02152430,0.11917114,0.06433105
0,200,1,0.72301025,0.12769870,0.69091797,0.12115479,0.50732422,0.10980225,0.11857910,0.02975625,0.14019165,0.07666016
0,200,2,0.78013916,0.13326119,0.74560547,0.12939453,0.53759766,0.10095215,0.12249756,0.02577846,0.14594727,0.08660889
0,200,3,0.79731445,0.13108627,0.76171875,0.12585449,0.57519531,0.12585449,0.13084717,0.02518223,0.15536804,0.10247803
0,200,4,0.82041016,0.12982522,0.78906250,0.13342285,0.59472656,0.12548828,0.13782349,0.02897313,0.16286926,0.11102295
0,200,5,0.79694824,0.10179209,0.76904297,0.10052490,0.59472656,0.09674072,0.13731995,0.02455938,0.16298828,0.11840820
0,200,6,0.83566895,0.11949385,0.80615234,0.11352539,0.62451172,0.09716797,0.14120789,0.02473678,0.16851807,0.12139893
0,200,7,0.91289062,0.12675836,0.88232422,0.12048340,0.66406250,0.11395264,0.14898987,0.02133050,0.17698364,0.12878418
0,200,8,0.86921387,0.11786317,0.83544922,0.10949707,0.64453125,0.09301758,0.15454102,0.01990711,0.18193359,0.14184570
