Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,11,112.35937500,10.35355229,96.81250000,9.98437500,13.48437500,0.97607422,0.00000000,0.00000000,0.13489380,0.11614990
0,0,10,112.67187500,17.28770647,98.18750000,11.32812500,14.00000000,1.37500000,0.04101028,0.00643743,0.19038696,0.14343262
0,0,9,105.21875000,14.19122336,94.87500000,10.21093750,14.12500000,0.80273438,0.06729736,0.01166397,0.22256470,0.17309570
0,0,8,115.75625000,12.06029611,102.43750000,8.67968750,14.56250000,1.06347656,0.09106445,0.01679285,0.25540771,0.18566895
0,0,7,118.10312500,15.02660759,101.87500000,8.21093750,15.30468750,1.16210938,0.11677094,0.02177821,0.29259644,0.20812988
0,0,6,120.59687500,17.45791228,107.50000000,11.45312500,15.54687500,1.31640625,0.14785767,0.02681835,0.33085327,0.22631836
0,0,5,129.03750000,26.31687464,112.18750000,15.03125000,16.51562500,1.78906250,0.18148804,0.03614520,0.37831421,0.24182129
0,0,4,137.98437500,18.69954540,120.56250000,13.64843750,18.01562500,1.84375000,0.22217407,0.04849753,0.44235840,0.28320312
0,0,3,135.27500000,17.25569879,121.93750000,14.48437500,19.14062500,2.22265625,0.27830200,0.06646326,0.52215576,0.30004883
0,0,2,166.13750000,27.08017321,147.12500000,22.21875000,22.56250000,3.34179688,0.36148071,0.09529774,0.65549316,0.33081055
0,0,1,207.94375000,26.90427112,184.75000000,23.98437500,27.93750000,4.15625000,0.51439209,0.15296698,0.90035400,0.40869141
0,0,0,inf,nan,inf,nan,inf,nan,0.80060425,0.28582771,inf,0.51123047
0,200,11,35.15703125,6.13446231,30.26562500,3.35937500,4.29687500,0.33300781,0.00000000,0.00000000,0.04299927,0.03668213
0,200,10,33.12734375,4.97391947,30.17187500,3.85156250,4.44531250,0.36914062,0.01444626,0.00274235,0.06297607,0.05068970
0,200,9,36.02500000,4.21677442,31.35937500,2.93359375,4.64843750,0.40087891,0.02330017,0.00448178,0.07528534,0.05767822
0,200,8,37.32812500,4.64878019,32.59375000,3.06054688,4.85937500,0.50439453,0.03132095,0.00649642,0.08725433,0.06161499
0,200,7,38.88515625,4.85437915,34.18750000,3.68554688,5.02343750,0.51464844,0.04017868,0.00890597,0.09954529,0.07305908
0,200,6,40.68203125,6.37764436,35.84375000,4.33203125,5.33203125,0.58203125,0.04937668,0.01074183,0.11278992,0.07952881
0,200,5,43.13593750,6.69105684,37.71875000,4.80468750,5.61718750,0.69677734,0.05852814,0.01318843,0.12679443,0.09118652
0,200,4,46.29687500,6.23995677,40.78125000,5.58203125,6.09765625,0.87548828,0.07023926,0.01684852,0.14570923,0.10095215
0,200,3,53.83125000,11.18570342,45.59375000,7.70703125,6.62890625,1.02636719,0.08454437,0.02149747,0.16899109,0.10699463
0,200,2,62.12656250,16.93457503,53.25000000,11.75000000,8.05468750,1.47460938,0.10375061,0.02951385,0.20740967,0.12585449
0,200,1,78.72343750,14.36005771,68.43750000,12.65625000,10.32812500,2.13085938,0.13056488,0.03804070,0.26450195,0.15100098
0,200,0,157.41562500,62.06406177,138.62500000,53.56250000,20.26562500,7.66796875,0.17965698,0.06359963,0.43225098,0.18676758
0,400,11,27.80000000,3.79337738,24.31250000,2.89648438,3.46289062,0.28344727,0.00000000,0.00000000,0.03462982,0.02978516
0,400,10,28.17187500,3.76862562,24.96875000,2.94140625,3.67382812,0.41015625,0.01063995,0.00249671,0.04995728,0.03732300
0,400,9,28.30468750,4.03009764,24.78125000,2.80468750,3.71679688,0.47973633,0.01722412,0.00450497,0.05824890,0.04101562
0,400,8,31.31484375,6.35105275,26.98437500,3.53906250,3.89453125,0.46728516,0.02292442,0.00635082,0.06686401,0.04736328
0,400,7,32.52343750,5.22777919,28.23437500,4.16796875,4.01562500,0.54687500,0.02954178,0.00862719,0.07615814,0.05169678
0,400,6,33.39843750,4.95884552,29.70312500,4.06640625,4.31640625,0.66064453,0.03584671,0.01138521,0.08670349,0.05554199
0,400,5,35.21718750,6.61169969,30.59375000,5.51562500,4.50390625,0.70361328,0.04243011,0.01376090,0.09668427,0.05868530
0,400,4,37.95781250,9.62129609,33.34375000,8.04687500,4.85156250,0.90722656,0.05039597,0.01702047,0.11010742,0.06457520
0,400,3,39.75625000,7.31865293,35.50000000,6.47656250,5.32031250,0.97900391,0.06061783,0.02188439,0.12755432,0.07019043
0,400,2,50.03984375,11.44954484,42.68750000,8.89062500,6.39062500,1.30761719,0.07386475,0.02807151,0.15661621,0.07696533
