Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,11,139.21875000,12.72129888,133.12500000,11.26562500,23.25000000,1.44824219,0.00000000,0.00000000,0.23245850,0.19909668
0,0,10,148.26875000,13.35748123,139.62500000,11.67968750,23.87500000,1.45410156,0.07100830,0.01127781,0.32541504,0.26147461
0,0,9,158.73750000,14.41932839,146.62500000,11.18750000,24.53125000,1.53710938,0.11648560,0.02007570,0.38551025,0.29296875
0,0,8,173.20937500,20.11989721,153.25000000,13.16406250,25.28125000,1.71875000,0.15596924,0.02748301,0.44044189,0.32055664
0,0,7,186.71250000,16.90118801,164.50000000,13.20312500,26.12500000,1.87792969,0.20024109,0.03933072,0.50056152,0.34716797
0,0,6,197.23125000,16.80398367,175.12500000,15.24218750,27.45312500,2.11718750,0.25090332,0.04735495,0.57199707,0.38842773
0,0,5,206.04375000,21.01187443,186.25000000,18.81250000,28.68750000,2.48437500,0.30800171,0.06001580,0.64985352,0.43310547
0,0,4,219.05000000,23.79139156,196.62500000,19.75000000,30.34375000,2.87890625,0.38091431,0.08269519,0.75145264,0.47705078
0,0,3,242.16875000,22.53439298,215.12500000,22.60937500,33.15625000,3.38476562,0.47856445,0.11104973,0.89833984,0.53613281
0,0,2,271.21250000,42.24674729,245.75000000,35.65625000,38.28125000,4.89453125,0.62083740,0.15717337,1.12060547,0.58789062
0,0,1,350.51875000,69.06426214,307.50000000,51.87500000,48.03125000,7.33593750,0.86961670,0.25489820,1.52822266,0.70654297
0,0,0,669.36250000,201.91278246,579.00000000,inf,87.56250000,21.64062500,1.38597412,0.49868191,2.61223145,0.87890625
0,200,11,40.74687500,3.95461187,38.15625000,3.25781250,7.85546875,0.66064453,0.00000000,0.00000000,0.07857971,0.06732178
0,200,10,44.41093750,5.01967102,41.37500000,4.37109375,8.14062500,0.68310547,0.02479477,0.00469615,0.11304626,0.09020996
0,200,9,48.90000000,6.43458368,44.50000000,4.91406250,8.32812500,0.73828125,0.03997345,0.00753920,0.13259583,0.10308838
0,200,8,53.01718750,7.17501276,47.56250000,5.45312500,8.65625000,0.83496094,0.05369873,0.01085752,0.15257874,0.11474609
0,200,7,56.54375000,7.85855426,51.50000000,6.43359375,8.98437500,0.90771484,0.06851196,0.01487903,0.17359314,0.12457275
0,200,6,60.87656250,8.52078384,54.81250000,6.30078125,9.35156250,0.96386719,0.08460388,0.01855309,0.19536743,0.13964844
0,200,5,67.39687500,9.64553461,59.78125000,7.75781250,9.86718750,1.14160156,0.10028687,0.02233986,0.21958008,0.15209961
0,200,4,73.11875000,11.19018648,66.68750000,9.67968750,10.62500000,1.35449219,0.11982574,0.02803510,0.25092163,0.16772461
0,200,3,85.85312500,18.05428311,75.93750000,13.40625000,11.74218750,1.75976562,0.14458313,0.03723369,0.29322510,0.18603516
0,200,2,100.13125000,21.46153809,89.37500000,17.85937500,13.68750000,2.47460938,0.17580566,0.04896134,0.35233765,0.21813965
0,200,1,133.29375000,36.50551168,116.68750000,29.79687500,17.76562500,3.60742188,0.22203369,0.06576035,0.45295410,0.25610352
0,200,0,257.25625000,97.22774870,229.00000000,inf,34.50000000,12.67968750,0.30576172,0.10841970,0.73583984,0.31811523
0,400,11,36.30546875,3.93411460,34.18750000,3.42968750,6.18359375,0.62548828,0.00000000,0.00000000,0.06185913,0.05352783
0,400,10,39.00468750,5.78154792,36.25000000,5.12890625,6.40625000,0.69726562,0.01824532,0.00423353,0.08675842,0.06634521
0,400,9,40.91093750,5.67196776,37.71875000,5.37500000,6.56640625,0.74023438,0.02957077,0.00755247,0.10172119,0.07354736
0,400,8,44.09609375,6.75937983,39.62500000,5.50390625,6.76953125,0.80029297,0.03961945,0.01068121,0.11573486,0.07977295
0,400,7,48.35625000,8.87796715,42.56250000,6.60156250,7.10156250,0.92431641,0.04984818,0.01441745,0.13185425,0.08764648
0,400,6,49.70000000,9.26521869,45.31250000,7.06640625,7.39453125,1.04687500,0.06124496,0.01947921,0.14809265,0.09338379
0,400,5,55.00468750,9.40561810,48.93750000,8.19531250,7.92578125,1.26562500,0.07297974,0.02393902,0.16762695,0.10144043
0,400,4,61.68281250,10.73448315,54.34375000,9.60937500,8.46875000,1.46972656,0.08639832,0.02990221,0.19005737,0.10937500
0,400,3,68.62812500,13.59801262,59.81250000,10.98437500,9.29687500,1.65039062,0.10364532,0.03779866,0.22045898,0.11816406
0,400,2,81.01093750,16.41069962,70.81250000,14.17187500,10.71093750,2.07617188,0.12551575,0.04727227,0.26403198,0.13122559
0,400,1,106.67968750,29.39324546,91.31250000,23.09375000,13.64843750,3.36132812,0.15611420,0.06187606,0.33729858,0.14819336
0,400,0,198.81562500,74.15154582,176.75000000,inf,25.78125000,9.22656250,0.20724945,0.08551694,0.53172607,0.17138672
0,600,11,38.60781250,5.39920490,36.59375000,4.20312500,8.03125000,0.81835938,0.00000000,0.00000000,0.08033752,0.06933594
0,600,10,42.74218750,5.17103822,39.68750000,4.70703125,8.27343750,0.93164062,0.02103081,0.00599542,0.10878601,0.08581543
0,600,9,47.20937500,7.58870138,43.18750000,6.12109375,8.47656250,0.96582031,0.03296204,0.01016225,0.12484436,0.09320068
0,600,8,50.58750000,8.27750859,45.81250000,6.76953125,8.75000000,1.05371094,0.04419174,0.01387844,0.14132385,0.09912109
0,600,7,54.25468750,9.78440083,49.25000000,7.47265625,9.03906250,1.12304688,0.05548630,0.01831751,0.15826111,0.10687256
0,600,6,59.75156250,10.08157390,53.53125000,8.67187500,9.36718750,1.25390625,0.06856537,0.02344466,0.17653198,0.11578369
0,600,5,64.48593750,12.83529023,57.81250000,10.54687500,9.82812500,1.45214844,0.08141174,0.02866069,0.19691162,0.12304688
0,600,4,69.95937500,13.37106068,62.53125000,12.08593750,10.35156250,1.72753906,0.09653168,0.03603022,0.22098999,0.12927246
0,600,3,77.99062500,17.45419256,69.18750000,14.92187500,11.27343750,2.19921875,0.11492004,0.04461987,0.25384521,0.13891602
0,600,2,88.42343750,22.26581793,79.81250000,19.64062500,12.61718750,2.86914062,0.13870544,0.05769980,0.29864502,0.14868164
0,600,1,113.99062500,34.28388649,100.81250000,31.14062500,15.46093750,4.06640625,0.17284546,0.07919556,0.37540894,0.16467285
0,600,0,204.84062500,101.02122780,178.62500000,inf,26.76562500,12.40625000,0.23325806,0.12124675,0.57624512,0.18835449
0,800,11,34.07500000,2.90822597,31.64062500,2.50000000,5.60156250,0.42919922,0.00000000,0.00000000,0.05600891,0.05004883
0,800,10,36.42187500,3.70604777,33.37500000,3.32421875,5.78125000,0.49243164,0.01701012,0.00319074,0.07830200,0.06506348
0,800,9,38.21093750,3.56378643,34.93750000,3.07421875,5.90234375,0.51171875,0.02670593,0.00508707,0.09068604,0.07324219
0,800,8,40.23593750,5.11162006,36.65625000,3.74804688,6.05859375,0.58251953,0.03614960,0.00722117,0.10338745,0.07897949
0,800,7,42.62343750,5.49258622,38.56250000,4.60156250,6.25781250,0.65136719,0.04596939,0.00981339,0.11706543,0.08538818
0,800,6,43.92656250,6.07439454,40.65625000,5.54687500,6.50000000,0.81054688,0.05734711,0.01333160,0.13240356,0.09472656
0,800,5,49.01250000,8.29026278,43.43750000,6.39843750,6.82812500,0.87744141,0.07018890,0.01822289,0.15049438,0.10333252
0,800,4,51.10156250,9.15038675,45.96875000,7.08593750,7.32031250,1.08203125,0.08566895,0.02217987,0.17377014,0.11798096
0,800,3,57.46093750,11.97580110,50.56250000,8.68750000,7.89453125,1.30273438,0.10567932,0.02857143,0.20357056,0.13244629
0,800,2,64.32187500,10.47909517,56.81250000,9.75000000,8.99218750,1.68945312,0.13469849,0.03840928,0.25082397,0.15124512
0,800,1,83.37812500,21.33370669,73.37500000,18.18750000,11.18750000,2.64257812,0.18296509,0.05340609,0.33356934,0.18579102
0,800,0,148.97031250,60.87187771,129.75000000,50.09375000,19.68750000,6.80859375,0.27780151,0.08690159,0.53818970,0.23962402
0,1000,11,33.91718750,4.24284525,32.12500000,3.41601562,6.76562500,0.64160156,0.00000000,0.00000000,0.06765137,0.05624390
0,1000,10,36.66562500,4.74841256,34.40625000,4.13671875,6.95312500,0.70410156,0.01796989,0.00395207,0.09138489,0.07110596
0,1000,9,39.04843750,4.97610967,36.50000000,4.32421875,7.08593750,0.71679688,0.02855682,0.00761960,0.10518494,0.07965088
0,1000,8,41.88593750,5.43037675,38.62500000,4.86718750,7.24218750,0.73242188,0.03793488,0.01027087,0.11813660,0.08929443
0,1000,7,45.74687500,6.85676488,40.87500000,5.26953125,7.44531250,0.79882812,0.04804840,0.01338130,0.13249817,0.09710693
0,1000,6,48.37031250,8.04524726,43.75000000,6.27343750,7.71484375,0.91308594,0.05834656,0.01795325,0.14750366,0.10656738
0,1000,5,53.53437500,9.83342166,48.03125000,7.65234375,8.10937500,1.07714844,0.06968231,0.02237498,0.16508179,0.11340332
0,1000,4,59.98906250,12.81055349,52.43750000,10.26562500,8.53906250,1.21484375,0.08284454,0.02678744,0.18565979,0.12371826
0,1000,3,64.60781250,12.24231055,57.68750000,10.86718750,9.14062500,1.40527344,0.09879456,0.03234777,0.21235962,0.13818359
0,1000,2,74.34843750,18.91804971,65.56250000,13.78125000,10.32031250,1.89257812,0.11898193,0.04095173,0.25072632,0.16101074
