Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,11,55.95000000,5.50002131,51.25000000,4.03906250,6.51171875,0.36572266,0.00000000,0.00000000,0.06511993,0.05746460
0,0,10,58.80468750,5.16533173,53.56250000,3.96289062,6.66015625,0.45996094,0.02028885,0.00328146,0.09142151,0.07104492
0,0,9,61.33750000,7.31787062,54.93750000,4.78125000,6.88671875,0.43164062,0.03332672,0.00590848,0.10907288,0.08306885
0,0,8,62.92031250,6.42128172,56.18750000,3.52539062,7.01562500,0.41796875,0.04477844,0.00779145,0.12406311,0.09326172
0,0,7,63.60937500,6.11102120,58.09375000,4.32421875,7.24218750,0.43237305,0.05738754,0.01070218,0.14095154,0.09887695
0,0,6,69.57343750,9.78414631,61.21875000,5.86718750,7.55078125,0.53076172,0.07128601,0.01310510,0.16009827,0.11138916
0,0,5,66.91406250,6.84421998,62.43750000,5.81640625,7.97656250,0.60937500,0.08684082,0.01684997,0.18222046,0.12341309
0,0,4,72.18125000,8.75918380,64.81250000,7.69140625,8.40625000,0.84472656,0.10670929,0.02302592,0.20965576,0.13171387
0,0,3,76.52812500,7.89581760,69.18750000,7.18359375,8.95312500,0.86621094,0.13339539,0.03084511,0.24724121,0.14965820
0,0,2,81.78437500,7.57696125,74.12500000,7.91015625,9.96875000,1.24609375,0.17080078,0.04150240,0.30205078,0.16381836
0,0,1,96.87187500,15.41053408,87.43750000,12.38281250,11.58593750,1.61035156,0.23127747,0.06295621,0.39287109,0.19384766
0,0,0,127.89375000,20.33601620,114.43750000,19.15625000,15.23437500,2.57226562,0.34044189,0.10512178,0.56610718,0.22570801
0,200,11,18.31210937,2.03928171,16.46875000,1.61425781,2.07617188,0.16076660,0.00000000,0.00000000,0.02077560,0.01794434
0,200,10,18.67695313,2.01941908,17.26562500,1.57226562,2.18750000,0.19665527,0.00713120,0.00132811,0.03096619,0.02429199
0,200,9,20.17500000,2.60510785,17.84375000,1.71484375,2.24218750,0.19738770,0.01139011,0.00210541,0.03649826,0.02841187
0,200,8,19.70468750,1.93297039,18.17187500,1.68847656,2.31054688,0.22119141,0.01534805,0.00301682,0.04199448,0.03123474
0,200,7,20.17187500,2.22249903,18.60937500,1.84277344,2.42382812,0.23352051,0.01960754,0.00416259,0.04822388,0.03482056
0,200,6,21.69218750,2.69190727,19.87500000,2.10546875,2.54296875,0.27490234,0.02408218,0.00523534,0.05440674,0.03878784
0,200,5,23.65390625,3.54023082,21.12500000,2.77539062,2.68554688,0.30615234,0.02845840,0.00628267,0.06116180,0.04254150
0,200,4,23.56250000,3.09054048,21.68750000,2.84179688,2.86914062,0.36914062,0.03399658,0.00790488,0.06967773,0.04797363
0,200,3,26.42109375,3.41973561,23.87500000,3.23632812,3.10742188,0.44702148,0.04087906,0.01033430,0.08066406,0.05273438
0,200,2,29.65468750,5.63610211,26.68750000,4.33203125,3.53125000,0.56005859,0.04957275,0.01331348,0.09578094,0.06045532
0,200,1,36.38437500,7.52208889,32.53125000,6.14843750,4.22656250,0.80273438,0.06166077,0.01737120,0.11814575,0.07189941
0,200,0,48.59296875,13.42516556,43.34375000,10.62500000,5.59375000,1.27441406,0.08123703,0.02579508,0.15647888,0.08227539
0,400,11,15.27109375,1.99601516,13.79687500,1.41308594,1.68750000,0.16955566,0.00000000,0.00000000,0.01687965,0.01403809
0,400,10,15.51250000,2.11915614,14.00781250,1.61230469,1.77050781,0.17675781,0.00525484,0.00119318,0.02423553,0.01828003
0,400,9,16.26835937,2.48157797,14.52343750,1.84277344,1.82617188,0.21740723,0.00845470,0.00215522,0.02858276,0.02062988
0,400,8,16.28828125,2.70793455,14.58593750,1.83398438,1.85156250,0.22802734,0.01140366,0.00306783,0.03234253,0.02209473
