Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,11,132.46875000,9.81983205,127.37500000,8.87500000,22.87500000,1.31542969,0.00000000,0.00000000,0.22873535,0.19775391
0,0,10,138.94062500,12.54525363,133.50000000,11.59375000,23.48437500,1.48339844,0.06999207,0.01097517,0.32020264,0.25292969
0,0,9,147.20937500,14.00192893,139.75000000,11.79687500,24.04687500,1.42382812,0.11382141,0.01986209,0.37775879,0.29077148
0,0,8,160.94375000,15.65729038,147.25000000,11.45312500,24.68750000,1.55859375,0.15234070,0.02673638,0.43041992,0.31762695
0,0,7,175.15000000,20.40938816,153.75000000,12.95312500,25.40625000,1.71093750,0.19529114,0.03792102,0.48771973,0.34130859
0,0,6,186.63125000,16.71561186,164.62500000,13.10937500,26.29687500,1.91992188,0.24416504,0.04518908,0.55175781,0.38061523
0,0,5,197.21875000,16.92856660,175.87500000,15.03125000,27.57812500,2.12695312,0.29804687,0.05697114,0.62672119,0.42700195
0,0,4,206.43750000,21.46292224,187.00000000,18.78125000,28.98437500,2.47265625,0.36701050,0.07664505,0.72080078,0.46289062
0,0,3,219.15000000,23.79458315,197.87500000,19.65625000,30.68750000,2.99218750,0.45446777,0.10203386,0.84521484,0.51708984
0,0,2,252.41875000,33.21427298,219.62500000,28.54687500,34.15625000,3.97070312,0.58082886,0.14208889,1.03029785,0.56054688
0,0,1,280.59375000,44.52162177,255.50000000,37.68750000,39.78125000,5.26171875,0.79108887,0.22126278,1.34411621,0.66064453
0,0,0,381.36875000,81.36958003,333.00000000,inf,52.84375000,8.75781250,1.17331543,0.37457217,1.95488281,0.78759766
0,200,11,36.12265625,2.60435649,34.87500000,2.60937500,7.72656250,0.61621094,0.00000000,0.00000000,0.07728577,0.06665039
0,200,10,41.25781250,3.91117034,38.53125000,3.43554688,7.99609375,0.68945312,0.02436638,0.00460411,0.11099548,0.08856201
0,200,9,44.50000000,5.70241006,41.43750000,4.49218750,8.17187500,0.69384766,0.03910980,0.00725018,0.13006897,0.10192871
0,200,8,49.00781250,6.64286267,44.87500000,5.30078125,8.39843750,0.76464844,0.05257339,0.01049774,0.14852600,0.11212158
0,200,7,53.27500000,7.37343469,47.96875000,5.71484375,8.73437500,0.84912109,0.06697388,0.01423933,0.16922913,0.12237549
0,200,6,56.80000000,8.03832616,51.62500000,6.56640625,9.03906250,0.92724609,0.08254700,0.01798820,0.18957520,0.13562012
0,200,5,61.19218750,8.70435233,55.68750000,7.23437500,9.48437500,1.03320312,0.09761505,0.02145755,0.21237793,0.15014648
