Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,100,2.32812500,0.00000000,2.18164062,0.00000000,1.65625000,0.00000000,0.38989258,0.00000000,0.46020508,0.46020508
0,200,100,2.05078125,0.00000000,1.99414062,0.00000000,1.56933594,0.00000000,0.37768555,0.00000000,0.44360352,0.44360352
0,400,100,2.45703125,0.00000000,2.21679688,0.00000000,1.54296875,0.00000000,0.37133789,0.00000000,0.43725586,0.43725586
0,600,100,2.09570312,0.00000000,2.00976562,0.00000000,1.50195312,0.00000000,0.35986328,0.00000000,0.42333984,0.42333984
0,800,100,1.99218750,0.00000000,1.90234375,0.00000000,1.46386719,0.00000000,0.35400391,0.00000000,0.41772461,0.41772461
0,1000,100,1.92675781,0.00000000,1.83691406,0.00000000,1.44335938,0.00000000,0.34350586,0.00000000,0.40405273,0.40405273
0,1200,100,2.09375000,0.00000000,1.83105469,0.00000000,1.39257812,0.00000000,0.33129883,0.00000000,0.39062500,0.39062500
0,1400,100,2.02148438,0.00000000,1.90332031,0.00000000,1.37597656,0.00000000,0.32128906,0.00000000,0.37695312,0.37695312
0,1600,100,2.08789062,0.00000000,1.86523438,0.00000000,1.38085938,0.00000000,0.32104492,0.00000000,0.37890625,0.37890625
0,1800,100,2.07031250,0.00000000,1.87695312,0.00000000,1.37500000,0.00000000,0.31420898,0.00000000,0.36914062,0.36914062
0,2000,100,2.13085938,0.00000000,1.96386719,0.00000000,1.34179688,0.00000000,0.30126953,0.00000000,0.35888672,0.35888672
0,2200,100,1.87792969,0.00000000,1.73828125,0.00000000,1.31933594,0.00000000,0.29785156,0.00000000,0.35205078,0.35205078
0,2400,100,1.95800781,0.00000000,1.81152344,0.00000000,1.30273438,0.00000000,0.30151367,0.00000000,0.35644531,0.35644531
0,2600,100,1.82519531,0.00000000,1.76464844,0.00000000,1.29980469,0.00000000,0.29370117,0.00000000,0.34716797,0.34716797
0,2800,100,1.85937500,0.00000000,1.68847656,0.00000000,1.27148438,0.00000000,0.29174805,0.00000000,0.34643555,0.34643555
0,3000,100,1.75976562,0.00000000,1.71289062,0.00000000,1.32714844,0.00000000,0.28540039,0.00000000,0.34301758,0.34301758
0,3200,100,1.69726562,0.00000000,1.66406250,0.00000000,1.27441406,0.00000000,0.27490234,0.00000000,0.33007812,0.33007812
