Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,0,3.13243513,0.66447232,2.96116447,0.59771836,1.68076611,0.34564498,0.30602106,0.05809109,0.38156265,0.29106507
0,0,1,3.34993792,0.63452278,3.16420555,0.59822482,1.85064530,0.34806362,0.36613382,0.05905300,0.44870365,0.35755563
0,0,2,3.48911066,0.58670981,3.27740216,0.57933122,2.00221324,0.30918905,0.42391462,0.05372295,0.51226214,0.42692843
0,0,3,3.65939901,0.51678732,3.49305534,0.49829715,2.22960281,0.29896510,0.47968017,0.05776929,0.57591618,0.48378268
0,0,4,3.70316691,0.47470006,3.50337338,0.45451781,2.36129236,0.27421665,0.53050177,0.05923701,0.62991902,0.55378824
0,0,5,3.91214442,0.39762019,3.69829798,0.36529481,2.53411126,0.24781172,0.57787522,0.05491969,0.68273511,0.61533886
0,0,6,4.07441511,0.37114243,3.85837317,0.33141774,2.66343451,0.22573288,0.61806712,0.05176849,0.73208721,0.67386961
0,0,7,4.33259449,0.36838565,4.07215595,0.35794696,2.79379487,0.22791627,0.66009296,0.05433723,0.77891997,0.72702497
0,0,8,4.51581707,0.36073507,4.22816658,0.35391405,2.91570663,0.22258344,0.70310509,0.05666158,0.82272413,0.76851398
0,0,9,4.53769436,0.33985441,4.29660082,0.35130334,3.01214123,0.19683206,0.74113679,0.05949454,0.86620640,0.81131577
0,0,10,4.94993808,0.44004691,4.69818115,0.41931227,3.28390384,0.22366428,0.78690867,0.06503517,0.92488707,0.85271114
0,0,11,5.05000143,0.51663526,4.80906010,0.45058283,3.41565323,0.23708916,0.81611424,0.05702704,0.96015162,0.89461565
0,200,0,4.13639554,0.63608166,3.90519476,0.60118502,2.40350533,0.44385183,0.44974102,0.10556405,0.56112335,0.29365897
0,200,1,4.26829923,0.65485649,4.05018806,0.63499641,2.53111696,0.46692544,0.49224592,0.09453256,0.60782076,0.38719144
0,200,2,4.42392585,0.68790993,4.15354395,0.66317600,2.62954664,0.43930912,0.52968574,0.08713657,0.64841694,0.47831634
0,200,3,4.52825587,0.64388950,4.24573469,0.60481036,2.74856520,0.43255645,0.57160095,0.08408048,0.69214533,0.52247947
0,200,4,4.49257565,0.49989016,4.22235632,0.48607421,2.82397604,0.38297001,0.60424985,0.08034029,0.72673737,0.57461715
0,200,5,4.62674006,0.46278059,4.38180113,0.46203390,2.93659115,0.35137495,0.63595968,0.06901559,0.76242084,0.62634420
0,200,6,4.82942424,0.49094857,4.57693958,0.40000609,3.05279541,0.33919942,0.66030122,0.06251882,0.79378527,0.68118662
0,200,7,4.90372931,0.51541261,4.64042759,0.45134664,3.13616133,0.32092762,0.68722358,0.06160285,0.82450713,0.72254479
0,200,8,5.10234892,0.51543404,4.80828238,0.42632508,3.25692320,0.32302514,0.71630499,0.05824993,0.85857919,0.76367277
0,200,9,5.25060306,0.52194889,4.95952940,0.40929151,3.37632680,0.34359157,0.75000567,0.06022161,0.89531285,0.79469085
0,200,10,5.56699498,0.49112931,5.26264572,0.37571889,3.56561136,0.33607882,0.79263587,0.06400539,0.94599744,0.83763635
0,200,11,5.66899371,0.56677715,5.37491512,0.43707049,3.65716934,0.34237427,0.82514757,0.06550770,0.98140270,0.86844260
0,400,0,4.53649021,0.72946208,4.37168932,0.76692772,2.70689845,0.56398529,0.47288310,0.09598313,0.59891441,0.43904087
0,400,1,4.78188012,0.81490511,4.60718346,0.84183246,2.84018850,0.57860231,0.52127423,0.09103961,0.65372606,0.50287050
0,400,2,4.83487865,0.76675424,4.66947651,0.80981582,2.93766069,0.55001855,0.56314255,0.08783018,0.69667481,0.54556644
0,400,3,4.79561552,0.73478447,4.61806107,0.73802996,3.04872346,0.53404725,0.61001931,0.09111238,0.74775324,0.58766550
0,400,4,4.82261437,0.71877560,4.60893774,0.69517422,3.11379457,0.51546878,0.64849338,0.09140634,0.78438657,0.62768489
0,400,5,4.89258984,0.68999182,4.69820833,0.68401492,3.20583224,0.49133125,0.67886448,0.08578355,0.81956444,0.65911168
0,400,6,5.09505104,0.73455327,4.87367487,0.70924270,3.32316017,0.50898850,0.70699980,0.08383392,0.85208715,0.69345856
0,400,7,5.13624072,0.64093308,4.88556051,0.58348650,3.39085960,0.48473001,0.73231232,0.08256395,0.88193443,0.72467893
0,400,8,5.33274751,0.59861091,5.06942129,0.56090152,3.50800133,0.49006784,0.76730358,0.08071395,0.91957815,0.75767404
0,400,9,5.50436416,0.60756227,5.23886633,0.57023668,3.59182215,0.50285435,0.79991257,0.08422887,0.95455700,0.79547787
0,400,10,5.67487738,0.51258920,5.50124407,0.55964619,3.76417542,0.45740443,0.83951595,0.09585843,1.00120046,0.84141135
0,400,11,5.86187325,0.49825343,5.63666010,0.56196463,3.88910913,0.44306538,0.87369258,0.09586752,1.04184538,0.88368309
0,600,0,4.42527816,0.73775347,4.29608297,0.72660887,2.83131909,0.64814520,0.49926250,0.14730797,0.63619634,0.41449496
0,600,1,4.75296117,0.79098535,4.59703159,0.78038287,2.96911526,0.64543784,0.55820458,0.14894616,0.69613635,0.46957904
0,600,2,4.73436643,0.77195765,4.55492449,0.77570498,3.05885482,0.64715755,0.60404541,0.14185651,0.74307434,0.51925689
