Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,0,4.12480644,0.24314222,3.96401215,0.18118434,2.88148737,0.06920315,0.67370355,0.00585650,0.79752851,0.79039329
0,0,1,4.41899946,0.27693897,4.21422863,0.22831561,2.92199636,0.03678709,0.67515906,0.00586172,0.79758121,0.79319906
0,0,2,4.16622349,0.21021219,3.96556973,0.14769042,2.83909917,0.05590104,0.67487387,0.01087156,0.79902054,0.79269576
0,0,3,4.22060032,0.20832353,4.03929520,0.18554960,2.89325619,0.06386454,0.67282713,0.00935481,0.79759877,0.79223198
0,0,4,4.16049567,0.20460485,3.97094083,0.13801357,2.87968850,0.03969067,0.67556938,0.00925004,0.79856678,0.79290611
0,0,5,4.10616580,0.25441647,3.93381834,0.21856372,2.87761188,0.06018281,0.67917714,0.00805275,0.79923479,0.79520875
0,0,6,3.96869448,0.28576377,3.81655693,0.21727282,2.81864715,0.05977887,0.68242845,0.00817294,0.80152435,0.79554558
0,0,7,4.03026338,0.31116715,3.84330034,0.27578241,2.79637957,0.06280062,0.68470241,0.01050294,0.80262292,0.79482418
0,0,8,4.07879316,0.29272759,3.83664584,0.21251555,2.79136753,0.05670305,0.68556359,0.01095698,0.80306525,0.79579902
0,0,9,4.03062112,0.29675605,3.82878304,0.26696593,2.78904510,0.08088360,0.68892008,0.01216669,0.80410909,0.79526275
0,0,10,3.96567061,0.27598139,3.78270841,0.22909509,2.79293919,0.07047710,0.68204642,0.00933526,0.80168678,0.79656428
0,0,11,4.09319140,0.36972885,3.88727379,0.30847219,2.82531953,0.07493956,0.68278202,0.01053516,0.80139486,0.79554588
0,200,0,4.31874861,0.20274354,4.11673832,0.17418656,2.92805886,0.05373102,0.67574818,0.00783030,0.79803551,0.79342729
0,200,1,4.52890522,0.24009237,4.35945606,0.19986841,2.98183703,0.07347773,0.67098995,0.00844087,0.79588672,0.78862292
0,200,2,4.41581489,0.24700708,4.21297979,0.17393042,2.93310404,0.06127310,0.67069994,0.00890637,0.79696035,0.79230487
0,200,3,4.32106405,0.25004308,4.13477135,0.17762096,2.92142034,0.05371356,0.67252064,0.00843589,0.79748701,0.79329675
0,200,4,4.38078423,0.28718306,4.12113094,0.17926335,2.93389726,0.06594804,0.67406812,0.00503981,0.79731801,0.79042292
0,200,5,4.23708291,0.21844121,4.05080032,0.17801775,2.91673326,0.10622961,0.67329262,0.00600534,0.79696276,0.79309660
0,200,6,4.29003171,0.23765624,4.07829571,0.18318236,2.91510892,0.08619103,0.67194690,0.00961452,0.79678246,0.78698993
