Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,0,2.75937500,0.09211547,2.63476562,0.06524658,1.72753906,0.01960754,0.39997559,0.00317955,0.47287598,0.46948242
0,0,1,2.67431641,0.18288372,2.54882812,0.12249756,1.70703125,0.02165222,0.39681396,0.00256670,0.47094727,0.46630859
0,0,2,2.70185547,0.15977383,2.58593750,0.12255859,1.72460938,0.02363586,0.40299072,0.00332988,0.47711182,0.47045898
0,0,3,2.79833984,0.18510729,2.65429688,0.12512207,1.70898438,0.01609802,0.39832764,0.00569715,0.47116699,0.46508789
0,0,4,2.74492188,0.13014380,2.59375000,0.10394287,1.70996094,0.02354431,0.39969482,0.00401110,0.47294922,0.46630859
0,0,5,2.77519531,0.13218039,2.65429688,0.09045410,1.71679688,0.01641846,0.39501953,0.00635657,0.46827393,0.45874023
0,0,6,2.72724609,0.19570105,2.61328125,0.16638184,1.71093750,0.03909302,0.39779053,0.00530593,0.47048340,0.45971680
0,0,7,2.70214844,0.19759651,2.55859375,0.14038086,1.68359375,0.03414917,0.39473877,0.00311054,0.46650391,0.45849609
0,0,8,2.77099609,0.20570577,2.63867188,0.18701172,1.70507812,0.02494812,0.39899902,0.00664184,0.47072754,0.46289062
0,0,9,2.71894531,0.17326200,2.62500000,0.14306641,1.70703125,0.02241516,0.40046387,0.00741886,0.47365723,0.45947266
0,0,10,2.68251953,0.12673279,2.53906250,0.09979248,1.69238281,0.02848816,0.39718018,0.00465552,0.46945801,0.46362305
0,0,11,2.65947266,0.12159560,2.56054688,0.10015869,1.74414062,0.02748108,0.40404053,0.00443603,0.47864990,0.46923828
0,200,0,2.77246094,0.16229106,2.61718750,0.11035156,1.73730469,0.02975464,0.39825439,0.00468589,0.47191162,0.46264648
0,200,1,2.75576172,0.18121745,2.58593750,0.08251953,1.70605469,0.01432800,0.39736328,0.00318264,0.47073975,0.46508789
0,200,2,2.71855469,0.13391503,2.56640625,0.08905029,1.69921875,0.00776291,0.40345459,0.00337980,0.47598877,0.47216797
0,200,3,2.73662109,0.08645369,2.62500000,0.06988525,1.71582031,0.01918030,0.40087891,0.00450768,0.47413330,0.46704102
0,200,4,2.70722656,0.13733108,2.62109375,0.14562988,1.70410156,0.02679443,0.40162354,0.00459833,0.47363281,0.46728516
0,200,5,2.75605469,0.13394636,2.65234375,0.10803223,1.72265625,0.02546692,0.39962158,0.00499760,0.47263184,0.46655273
