Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,0,4.21289062,0.25552593,4.01171875,0.21044922,3.87890625,0.19409180,0.73137207,0.09689649,0.84816895,0.77050781
0,0,1,4.24785156,0.28678094,4.05078125,0.25170898,3.91796875,0.23669434,0.71740723,0.02888087,0.82817383,0.78466797
0,0,2,4.07041016,0.20326719,3.91601562,0.17626953,3.78125000,0.15747070,0.66525879,0.02895120,0.77812500,0.69140625
0,0,3,4.01054688,0.32409601,3.85156250,0.28320312,3.73242188,0.26806641,0.70051270,0.04177624,0.81386719,0.75976562
0,0,4,4.10830078,0.27183857,3.92773438,0.23095703,3.78906250,0.21752930,0.66013184,0.05458768,0.77722168,0.65283203
0,0,5,3.94794922,0.35100665,3.78320312,0.30615234,3.67187500,0.28662109,0.69514160,0.08998843,0.80629883,0.69580078
0,0,6,4.09970703,0.24059256,3.97460938,0.23608398,3.86914062,0.24780273,0.75322266,0.11081525,0.87834473,0.69531250
0,0,7,4.00546875,0.28674217,3.85156250,0.27490234,3.73632812,0.27612305,0.78383789,0.07291775,0.87888184,0.77294922
0,0,8,3.90996094,0.33761160,3.77539062,0.32299805,3.67382812,0.32348633,0.65727539,0.04108877,0.76931152,0.69580078
0,0,9,3.98642578,0.35895732,3.84179688,0.34155273,3.72070312,0.33813477,0.73923340,0.06637868,0.84545898,0.75878906
0,0,10,3.77431641,0.30147386,3.61718750,0.27416992,3.49609375,0.26391602,0.64053955,0.06891391,0.75351563,0.60156250
0,0,11,3.80859375,0.28458110,3.69726562,0.29711914,3.58984375,0.29345703,0.67270508,0.08374758,0.78549805,0.69287109
0,200,0,4.23593750,0.19320109,4.04296875,0.13208008,3.90625000,0.12451172,0.69519043,0.03196317,0.81201172,0.72607422
0,200,1,4.15673828,0.31030902,3.97070312,0.22949219,3.84179688,0.21704102,0.70954590,0.04534692,0.82678223,0.74658203
0,200,2,4.26591797,0.30139211,4.07031250,0.25000000,3.92773438,0.21789551,0.70961914,0.07558510,0.81882324,0.64746094
0,200,3,4.14921875,0.25240270,3.96093750,0.18969727,3.81835938,0.16833496,0.69436035,0.03323201,0.81489258,0.76855469
0,200,4,4.13349609,0.22631677,3.97070312,0.22985840,3.85937500,0.22778320,0.68793945,0.06520080,0.80749512,0.62011719
0,200,5,4.25312500,0.28408228,4.04687500,0.26904297,3.90625000,0.24816895,0.69291992,0.07406760,0.80871582,0.62988281
0,200,6,4.22998047,0.28602172,4.03906250,0.24072266,3.91210938,0.24792480,0.69313965,0.05044361,0.81176758,0.73779297
0,200,7,4.17236328,0.33494521,4.00390625,0.28344727,3.87695312,0.26953125,0.72316895,0.05065561,0.84116211,0.74365234
0,200,8,4.16279297,0.24080318,4.00390625,0.22277832,3.88476562,0.22204590,0.69396973,0.06342675,0.81442871,0.60058594
0,200,9,4.17890625,0.30151810,4.01171875,0.25048828,3.88281250,0.23315430,0.68730469,0.05469434,0.80642090,0.71044922
