Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,0,0.15238900,0.03214375,0.12578772,0.01947242,0.11113688,0.01513673,0.00350612,0.00018743,0.00497512,0.00497512
0,0,1,0.14318854,0.04428593,0.11733822,0.03022107,0.09839375,0.02105426,0.00379352,0.00038518,0.00497512,0.00497512
0,0,2,0.10354447,0.01483787,0.08774472,0.01197887,0.07784519,0.01148480,0.00370461,0.00018446,0.00497512,0.00497512
0,0,3,0.09644208,0.02456513,0.08180241,0.01581553,0.07259907,0.01235559,0.00390567,0.00027139,0.00497512,0.00497512
0,0,4,0.09408942,0.02181251,0.08339405,0.01891252,0.07413410,0.01617475,0.00403481,0.00022803,0.00497512,0.00497512
0,0,5,0.07473836,0.01224830,0.06822260,0.01098755,0.06180722,0.00986255,0.00409430,0.00015865,0.00497512,0.00497512
0,0,6,0.07484617,0.01994373,0.06454159,0.01267153,0.05772789,0.00996798,0.00418067,0.00020147,0.00497512,0.00497512
0,0,7,0.07409780,0.02778710,0.06407461,0.02339831,0.05823828,0.02146670,0.00418298,0.00023639,0.00497512,0.00497512
0,0,8,0.06757741,0.02174339,0.06020487,0.01752633,0.05468426,0.01503999,0.00412457,0.00021368,0.00497512,0.00497512
0,0,9,0.06916817,0.01985771,0.06182324,0.01837037,0.05626498,0.01711416,0.00405509,0.00023539,0.00497512,0.00497512
0,0,10,0.05634674,0.01466984,0.05085521,0.01188903,0.04629336,0.00969304,0.00427095,0.00013591,0.00497512,0.00497512
0,0,11,0.04871216,0.01047140,0.04372825,0.00858165,0.03976473,0.00716006,0.00432065,0.00018695,0.00497512,0.00497512
0,200,0,0.15846226,0.03457570,0.13167188,0.02351831,0.11431823,0.01704813,0.00347090,0.00027078,0.00497512,0.00497512
0,200,1,0.15212929,0.03436508,0.12535301,0.02371725,0.10926815,0.02016355,0.00370584,0.00042168,0.00497512,0.00497512
0,200,2,0.14565451,0.02822648,0.12199692,0.02164996,0.10652886,0.01984693,0.00344677,0.00024860,0.00497512,0.00497512
0,200,3,0.13805914,0.03867987,0.11518214,0.02413192,0.10100515,0.02035006,0.00359281,0.00028929,0.00497512,0.00497512
0,200,4,0.13578579,0.03593137,0.10961964,0.02307352,0.09583132,0.01954449,0.00371073,0.00028075,0.00497512,0.00497512
0,200,5,0.12581533,0.03675462,0.10491526,0.02057051,0.09157550,0.01640744,0.00378481,0.00030985,0.00497512,0.00497512
0,200,6,0.11760493,0.03502077,0.09848557,0.02313830,0.08559604,0.01792033,0.00378203,0.00031833,0.00497512,0.00497512
0,200,7,0.11705398,0.03103172,0.09914355,0.02278073,0.08712996,0.01727960,0.00380622,0.00026967,0.00497512,0.00497512
0,200,8,0.10622769,0.02340358,0.09341955,0.01907688,0.08403079,0.01747094,0.00372950,0.00025604,0.00497512,0.00497512
0,200,9,0.10928209,0.02545975,0.09425726,0.02072214,0.08384798,0.01813387,0.00380533,0.00029034,0.00497512,0.00497512
0,200,10,0.10236775,0.02201808,0.08604804,0.01938538,0.07534765,0.01629632,0.00396684,0.00028704,0.00497512,0.00497512
0,200,11,0.09669652,0.03688495,0.08055131,0.02372310,0.07096969,0.01874501,0.00397522,0.00027229,0.00497512,0.00497512
0,400,0,0.16155835,0.03196976,0.13633004,0.02631122,0.11766706,0.02082698,0.00364774,0.00032010,0.00497512,0.00497512
0,400,1,0.13185059,0.03043637,0.10937248,0.01693180,0.09445702,0.01628706,0.00407855,0.00049983,0.00497512,0.00497512
0,400,2,0.14854341,0.04537952,0.12581025,0.03564926,0.10952491,0.02950879,0.00353595,0.00022297,0.00497512,0.00497512
0,400,3,0.13439969,0.03381924,0.11633478,0.02678533,0.10295524,0.02156283,0.00378727,0.00031100,0.00497512,0.00497512
0,400,4,0.11273734,0.03494397,0.09737629,0.02680598,0.08579350,0.02168150,0.00401218,0.00034836,0.00497512,0.00497512
0,400,5,0.11097601,0.03882191,0.09189781,0.02246015,0.08147176,0.01908887,0.00404988,0.00038070,0.00497512,0.00497512
0,400,6,0.10973390,0.03038320,0.09290899,0.02075232,0.08210863,0.01811946,0.00399771,0.00034789,0.00497512,0.00497512
0,400,7,0.10046653,0.03487432,0.08815373,0.03208619,0.07920120,0.02931868,0.00401650,0.00035190,0.00497512,0.00497512
0,400,8,0.09848720,0.02986177,0.08674918,0.02460327,0.07869961,0.02189814,0.00379942,0.00024730,0.00497512,0.00497512
0,400,9,0.09114749,0.01864048,0.07864146,0.01475806,0.07099829,0.01371486,0.00404073,0.00035413,0.00497512,0.00497512
0,400,10,0.08162965,0.02259293,0.07176484,0.01843659,0.06405057,0.01527074,0.00411761,0.00033752,0.00497512,0.00497512
0,400,11,0.07360346,0.02291910,0.06522106,0.01949362,0.05886478,0.01734554,0.00418277,0.00036662,0.00497512,0.00497512
0,600,0,0.17261608,0.06934968,0.13806763,0.04006240,0.11928431,0.03406354,0.00381275,0.00048124,0.00497512,0.00497512
0,600,1,0.11933450,0.06606463,0.09279538,0.03761581,0.07975574,0.02968172,0.00416152,0.00052568,0.00497512,0.00497512
0,600,2,0.14542859,0.04877333,0.12040131,0.04127307,0.10695606,0.03707350,0.00380424,0.00043257,0.00497512,0.00497512
0,600,3,0.12739862,0.03736893,0.10814302,0.02883873,0.09450941,0.02471323,0.00400578,0.00044844,0.00497512,0.00497512
0,600,4,0.10528943,0.04031559,0.08908804,0.02838830,0.07877203,0.02322378,0.00410323,0.00040373,0.00497512,0.00497512
0,600,5,0.08935551,0.02085171,0.07599451,0.01898329,0.06734216,0.01748837,0.00417620,0.00040121,0.00497512,0.00497512
0,600,6,0.09419357,0.03214167,0.08112959,0.02543708,0.07173622,0.02156796,0.00411950,0.00040770,0.00497512,0.00497512
0,600,7,0.09871349,0.03794612,0.08017115,0.02204777,0.07063629,0.01769884,0.00413879,0.00038636,0.00497512,0.00497512
