Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,11,6.37124023,3.26077097,5.69140625,2.93750000,1.12597656,0.49877930,0.07983093,0.00903412,0.10848694,0.07666016
0,0,10,9.17500000,3.49040861,8.22656250,3.17968750,1.51171875,0.50195312,0.08814240,0.01316070,0.12417297,0.08654785
0,0,9,8.50048828,3.83972880,7.45312500,3.49414062,1.48339844,0.53515625,0.09173279,0.01105792,0.13035583,0.09045410
0,0,8,9.06191406,3.99193127,7.90234375,3.71289062,1.58203125,0.61230469,0.10204773,0.01413950,0.14203491,0.09649658
0,0,7,10.65458984,4.16115632,9.14843750,3.36132812,1.74316406,0.53515625,0.11328125,0.01641864,0.15546875,0.09899902
0,0,6,9.86806641,5.32462313,8.76562500,4.83203125,1.74316406,0.75488281,0.12359924,0.02113496,0.16537170,0.10809326
0,0,5,13.59179688,4.17456233,12.10937500,3.93945312,2.38476562,0.66210938,0.14019775,0.02518797,0.19398193,0.12866211
0,0,4,12.74443359,4.20716623,11.36718750,3.71875000,2.30078125,0.61328125,0.16836853,0.02798795,0.22754517,0.13000488
0,0,3,20.19492187,14.29078859,17.46875000,11.92187500,3.17578125,1.67675781,0.19470520,0.04107334,0.26869507,0.12292480
0,0,2,21.92265625,9.04609065,19.62500000,7.96484375,3.72265625,1.15625000,0.24225159,0.05490766,0.33121338,0.16186523
0,0,1,33.42460938,12.95506085,29.12500000,10.45312500,5.46484375,1.65722656,0.33459473,0.07817830,0.45957642,0.18139648
0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,200,11,3.80476074,2.40365073,3.42773438,2.13085938,0.63183594,0.31396484,0.02849503,0.00389049,0.04243927,0.02658081
0,200,10,3.68088379,1.80068104,3.11914062,1.43457031,0.57958984,0.20520020,0.02959671,0.00336294,0.04334106,0.02993774
0,200,9,4.50261230,2.31710381,3.82226562,1.92578125,0.70800781,0.31152344,0.03188782,0.00465634,0.04815369,0.02810669
0,200,8,4.85024414,1.78442582,4.26171875,1.53710938,0.78662109,0.23840332,0.03598633,0.00577316,0.05320206,0.03028870
0,200,7,4.13725586,1.64336242,3.69335938,1.44726562,0.69873047,0.21191406,0.03867188,0.00568346,0.05494843,0.03829956
0,200,6,5.24707031,3.55742922,4.68359375,3.23632812,0.85986328,0.49951172,0.04218063,0.00688781,0.06125336,0.03686523
0,200,5,6.13408203,3.28762833,5.42968750,2.64453125,0.99316406,0.38549805,0.04849701,0.00803246,0.06979523,0.04531860
0,200,4,6.36440430,2.96152440,5.54296875,2.49414062,1.04003906,0.36816406,0.05325165,0.01077523,0.07806702,0.05279541
0,200,3,8.21083984,3.41095863,7.36718750,3.23242188,1.33496094,0.48876953,0.06257477,0.01342672,0.09124908,0.06112671
0,200,2,11.90087891,6.36799976,10.28125000,5.51562500,1.80566406,0.77490234,0.07651215,0.01817570,0.11349182,0.07427979
0,200,1,12.71953125,7.34845662,11.19531250,6.30859375,2.00976562,0.88671875,0.09910126,0.02271417,0.14225464,0.07800293
0,200,0,26.57343750,11.50678521,23.70312500,9.96093750,4.30078125,1.64843750,0.17625275,0.06051207,0.26790161,0.09570312
0,400,11,3.00595703,1.36327562,2.64062500,1.15722656,0.45800781,0.18627930,0.02194290,0.00348056,0.03172150,0.02053833
0,400,10,3.39775391,1.36848613,2.99023438,1.22265625,0.53173828,0.20764160,0.02385254,0.00380707,0.03521042,0.02116394
0,400,9,3.35532227,1.84937049,3.04296875,1.68847656,0.56103516,0.27685547,0.02474518,0.00480597,0.03674164,0.02210999
0,400,8,4.08657227,1.94067016,3.70507812,1.84472656,0.65673828,0.27612305,0.02726669,0.00640391,0.04145203,0.02552795
0,400,7,3.89201660,2.32676760,3.47656250,2.10546875,0.63085938,0.31298828,0.02974014,0.00696203,0.04336166,0.02505493
0,400,6,4.57353516,2.35485603,3.87304688,1.93945312,0.70458984,0.28637695,0.03299942,0.00733782,0.04774170,0.03189087
0,400,5,5.12846680,2.77413687,4.55468750,2.40820312,0.84179688,0.39208984,0.03714752,0.00907206,0.05380630,0.02958679
0,400,4,5.67236328,3.10099915,5.00781250,2.67578125,0.90478516,0.38745117,0.04124756,0.01142207,0.06073532,0.02943420
0,400,3,8.76274414,3.66577433,7.63281250,3.07031250,1.32128906,0.46044922,0.04819565,0.01351182,0.07386475,0.03549194
0,400,2,8.95507812,3.60477636,7.76562500,3.06054688,1.39160156,0.45239258,0.05620575,0.01837330,0.08659668,0.03860474
0,400,1,11.72456055,7.32801643,10.49218750,6.71093750,1.81542969,1.07812500,0.07395172,0.02349781,0.10878143,0.03729248
0,400,0,27.14316406,14.07576763,23.42187500,11.79687500,3.97265625,1.86132812,0.12390137,0.05054454,0.20008545,0.04876709
0,600,11,3.00428467,2.13427864,2.69335938,1.86230469,0.50195312,0.30200195,0.02665787,0.00500283,0.03797455,0.02375793
0,600,10,3.08756104,1.87991868,2.73632812,1.70117188,0.51611328,0.28320312,0.02789078,0.00532626,0.03944397,0.02351379
0,600,9,3.71665039,2.12535460,3.22070312,1.77539062,0.59716797,0.26831055,0.03004761,0.00602768,0.04383240,0.02438354
0,600,8,4.07834473,2.77116942,3.60156250,2.53320312,0.65966797,0.37866211,0.03281021,0.00793385,0.04721909,0.02577209
0,600,7,3.79169922,2.26545641,3.33007812,2.00976562,0.62841797,0.32495117,0.03581543,0.00770973,0.05018616,0.03048706
0,600,6,4.61462402,2.96352033,3.99218750,2.43554688,0.72607422,0.40283203,0.03884430,0.00925089,0.05433426,0.02894592
0,600,5,5.65858154,3.90079596,4.98046875,3.42578125,0.90869141,0.52197266,0.04356308,0.01139422,0.06220245,0.03225708
0,600,4,6.01159668,4.52222174,5.33203125,4.03515625,0.97900391,0.65087891,0.04781265,0.01316721,0.06877747,0.03408813
0,600,3,7.64780273,4.67906064,6.89062500,4.33203125,1.25097656,0.67675781,0.05400467,0.01620049,0.07928162,0.03408813
0,600,2,7.94067383,4.53671641,6.86328125,3.57421875,1.31054688,0.57324219,0.06285858,0.02014785,0.09171295,0.03991699
0,600,1,11.34367676,8.68973362,9.98437500,7.48046875,1.79492188,1.16210938,0.08242798,0.03156722,0.11902466,0.04074097
0,600,0,26.26875000,17.32451586,22.56250000,14.64062500,3.88281250,2.20117188,0.12882385,0.06279426,0.20587769,0.05465698
0,800,11,1.67103271,1.46034040,1.42773438,1.17675781,0.27734375,0.18054199,0.01979370,0.00277694,0.02653275,0.01855469
0,800,10,1.47104492,0.82672859,1.30957031,0.77197266,0.25805664,0.12231445,0.02015839,0.00264160,0.02703094,0.02006531
0,800,9,2.35467529,1.64066341,2.06640625,1.42871094,0.38208008,0.21887207,0.02206039,0.00328812,0.03107605,0.02000427
0,800,8,2.10766602,1.63572896,1.89453125,1.44335938,0.36816406,0.22680664,0.02417221,0.00403895,0.03298035,0.02198792
0,800,7,2.37474365,1.44037770,2.09179688,1.30957031,0.39526367,0.20532227,0.02643661,0.00493240,0.03614044,0.02429199
0,800,6,2.69550781,1.77318795,2.34570312,1.46875000,0.44653320,0.23352051,0.02946014,0.00567543,0.03971863,0.02679443
0,800,5,2.74025879,2.09848216,2.42578125,1.88183594,0.46777344,0.29174805,0.03278809,0.00719060,0.04413681,0.02864075
0,800,4,3.27316895,2.31979628,2.96679688,2.10546875,0.56298828,0.31103516,0.03771515,0.00927992,0.05135651,0.03137207
0,800,3,4.29736328,2.56996985,3.83398438,2.40039062,0.71386719,0.33740234,0.04342651,0.01048101,0.06043091,0.03717041
0,800,2,5.56645508,3.59835767,4.98046875,3.23828125,0.94042969,0.48657227,0.05508118,0.01508360,0.07680054,0.04455566
0,800,1,7.79545898,5.13615914,6.95312500,4.78515625,1.27832031,0.74267578,0.07109833,0.01954025,0.09785767,0.05041504
0,800,0,18.34433594,11.05541836,15.33593750,8.61718750,2.70312500,1.38867188,0.12120209,0.03848247,0.17608337,0.07440186
0,1000,11,2.41518555,1.40971232,2.19531250,1.28417969,0.40673828,0.20532227,0.02256317,0.00351507,0.03145142,0.02079773
0,1000,10,2.63354492,1.66065382,2.26562500,1.45703125,0.42529297,0.24816895,0.02413635,0.00482419,0.03372421,0.02189636
0,1000,9,2.62030029,0.99178484,2.30468750,0.87646484,0.44580078,0.14599609,0.02534332,0.00452014,0.03602524,0.02510071
0,1000,8,3.26889648,2.01863617,2.82617188,1.77832031,0.55712891,0.29248047,0.02777328,0.00581542,0.04057083,0.02603149
0,1000,7,3.54296875,1.75858400,3.09179688,1.58203125,0.57910156,0.24829102,0.03021622,0.00726269,0.04298019,0.02583313
0,1000,6,3.98100586,2.10311296,3.49804688,1.84179688,0.64648438,0.28222656,0.03287125,0.00747570,0.04641724,0.02804565
0,1000,5,4.27031250,2.65243618,3.83203125,2.46875000,0.71044922,0.39257812,0.03669586,0.00821935,0.05166779,0.03393555
0,1000,4,4.59931641,2.10652196,3.97851562,1.75976562,0.75830078,0.28222656,0.03903732,0.01011442,0.05653229,0.03128052
0,1000,3,6.16376953,3.37280153,5.34375000,2.89062500,1.00781250,0.43896484,0.04536133,0.01190247,0.06684113,0.04467773
0,1000,2,6.74843750,3.14152471,5.91406250,2.90234375,1.11230469,0.43115234,0.05214233,0.01566375,0.07683716,0.04733276
0,1000,1,9.27963867,6.40030916,7.96093750,5.27734375,1.45019531,0.81298828,0.06733856,0.02163679,0.09731903,0.04986572
