Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,11,14.14296875,7.17505253,11.79687500,6.38671875,1.05761719,0.32104492,0.01766205,0.00289592,0.06867218,0.04934692
0,0,10,21.32578125,8.78421328,18.50000000,7.90625000,1.33300781,0.31787109,0.02337875,0.00551239,0.08052673,0.05914307
0,0,9,19.95234375,9.24499901,16.48437500,7.50390625,1.37695312,0.36352539,0.02629738,0.00563749,0.08489227,0.05953979
0,0,8,23.42480469,13.02149776,19.20312500,10.60937500,1.44628906,0.35864258,0.03177643,0.00704447,0.09327393,0.06286621
0,0,7,24.35664063,7.85734367,20.68750000,6.96875000,1.53027344,0.36132812,0.03755341,0.00971651,0.10449219,0.06579590
0,0,6,27.73867188,17.22245212,21.85937500,12.61718750,1.59082031,0.46533203,0.04449692,0.01179101,0.11430664,0.07366943
0,0,5,36.87578125,15.95283306,30.95312500,12.58593750,1.99316406,0.36132812,0.05552444,0.01379008,0.13455505,0.08251953
0,0,4,31.17187500,11.35758266,26.03125000,9.57812500,2.18750000,0.47460938,0.06988754,0.01778332,0.16083374,0.08587646
0,0,3,44.67109375,27.79530783,39.00000000,24.92187500,2.73242188,1.00976562,0.09336777,0.02648544,0.19508667,0.08746338
0,0,2,53.61796875,26.67892247,46.43750000,22.79687500,3.21679688,0.69482422,0.11894379,0.02946772,0.24135132,0.11175537
0,0,1,78.65078125,27.93843822,67.56250000,24.60937500,4.60937500,1.15429688,0.17482452,0.05349326,0.34288635,0.12139893
0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,200,11,8.54453125,5.58007962,7.44531250,4.83203125,0.51953125,0.17517090,0.00597019,0.00089820,0.02530212,0.01672363
0,200,10,7.86440430,3.95999057,6.92578125,3.48828125,0.50830078,0.13317871,0.00834389,0.00168363,0.02758331,0.01890564
0,200,9,10.46533203,6.58757891,8.29687500,4.76171875,0.60253906,0.18139648,0.01054993,0.00242417,0.03128967,0.01940918
0,200,8,11.35791016,5.73227444,9.40625000,4.25000000,0.65478516,0.14221191,0.01293964,0.00279420,0.03532257,0.02076721
0,200,7,9.75385742,5.24557749,8.28906250,3.84179688,0.61181641,0.12829590,0.01480827,0.00288535,0.03707886,0.02465820
0,200,6,12.76391602,11.86505508,10.71875000,9.00000000,0.71337891,0.24536133,0.01744099,0.00465776,0.04196625,0.02462769
0,200,5,14.29560547,7.81072466,12.41406250,7.05859375,0.80468750,0.21142578,0.02074738,0.00503692,0.04772797,0.03030396
0,200,4,14.23017578,6.86137344,11.98437500,6.07421875,0.90917969,0.22436523,0.02483025,0.00594498,0.05504456,0.03665161
0,200,3,20.77636719,11.96116655,17.53125000,9.57812500,1.06347656,0.26904297,0.03121910,0.00913299,0.06529541,0.03991699
0,200,2,27.64140625,17.67400274,24.14062500,16.20312500,1.37792969,0.37744141,0.03968658,0.01092206,0.08221893,0.05349731
0,200,1,29.21796875,19.42815084,25.21875000,15.86718750,1.63574219,0.51464844,0.04990845,0.01337758,0.10232544,0.05364990
0,200,0,62.42617188,32.03864849,54.09375000,26.54687500,3.41601562,1.21289062,0.08250427,0.02401821,0.18557739,0.07214355
0,400,11,6.99580078,3.47629883,5.63671875,2.40820312,0.37084961,0.12658691,0.00463409,0.00074289,0.01943970,0.01368713
0,400,10,8.15317383,3.45642122,7.02734375,3.04296875,0.43212891,0.16052246,0.00701075,0.00190569,0.02288628,0.01421356
0,400,9,9.13906250,5.95257859,7.10546875,4.39062500,0.44824219,0.17663574,0.00810680,0.00262531,0.02409401,0.01480865
0,400,8,9.49062500,4.27335080,8.00781250,3.57031250,0.53173828,0.19042969,0.01007748,0.00307172,0.02754440,0.01683044
0,400,7,10.22910156,7.15701629,8.25781250,5.27343750,0.51171875,0.19348145,0.01163998,0.00424577,0.02927933,0.01646423
0,400,6,11.11289063,7.52682032,9.35156250,6.35156250,0.55664062,0.16528320,0.01300640,0.00442508,0.03239059,0.01995850
0,400,5,13.62412109,7.93912338,11.31250000,6.52734375,0.63769531,0.24206543,0.01617451,0.00622780,0.03704834,0.01957703
0,400,4,13.76425781,7.27137909,11.96093750,6.45703125,0.72558594,0.26757812,0.01873646,0.00769728,0.04260483,0.01911926
0,400,3,20.72675781,8.62793065,17.70312500,7.67578125,0.96337891,0.26879883,0.02373047,0.00900097,0.05162659,0.02352905
0,400,2,19.07714844,7.26455447,16.67187500,6.37500000,1.11035156,0.28613281,0.03052940,0.01053547,0.06371765,0.02902222
0,400,1,26.89658203,19.34475946,23.56250000,16.18750000,1.33203125,0.61035156,0.03692303,0.01421895,0.07778854,0.02558899
0,400,0,65.15937500,32.14009730,53.40625000,25.73437500,2.90429688,1.24902344,0.06004410,0.02426148,0.13884277,0.03479004
0,600,11,6.99196777,4.72809352,6.08593750,4.21093750,0.42309570,0.20764160,0.00557451,0.00118670,0.02348251,0.01478577
0,600,10,7.16462402,5.02971762,6.06250000,4.23828125,0.43774414,0.19921875,0.00748177,0.00226719,0.02554474,0.01570129
0,600,9,9.82238770,5.44806946,7.43359375,3.79492188,0.50585938,0.19702148,0.00880375,0.00308951,0.02803650,0.01658630
0,600,8,9.49956055,6.23134790,7.96093750,5.37890625,0.54003906,0.24353027,0.01103048,0.00421015,0.03128815,0.01675415
