Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,0,0,1,12,165
0,0,0,0,2,195,210
0,0,0,0,3,168,157
0,0,0,0,4,12,210
0,0,0,0,5,195,117
0,0,0,1,1,196,122
0,0,0,1,2,38,140
0,0,0,1,3,40,122
0,0,0,1,4,57,210
0,0,0,1,5,140,210
0,0,0,2,1,25,127
0,0,0,2,2,132,139
0,0,0,2,3,42,165
0,0,0,2,4,58,186
0,0,0,2,5,80,369
0,0,0,3,1,172,151
0,0,0,3,2,46,151
0,0,0,3,3,184,151
0,0,0,3,4,182,151
0,0,0,3,5,17,151
0,0,0,4,1,74,140
0,0,0,4,2,139,165
0,0,0,4,3,141,317
0,0,0,4,4,48,140
0,0,0,4,5,153,165
0,0,0,5,1,92,303
0,0,0,5,2,23,210
0,0,0,5,3,131,307
0,0,0,5,4,23,215
0,0,0,5,5,110,210
0,0,0,6,1,66,210
0,0,0,6,2,165,151
0,0,0,6,3,12,367
0,0,0,6,4,189,165
0,0,0,6,5,135,210
0,0,0,7,1,134,115
0,0,0,7,2,88,140
0,0,0,7,3,65,140
0,0,0,7,4,24,151
0,0,0,7,5,125,140
0,0,0,8,1,128,151
0,0,0,8,2,7,140
0,0,0,8,3,42,140
0,0,0,8,4,158,140
0,0,0,8,5,165,151
0,0,0,9,1,182,165
0,0,0,9,2,0,151
0,0,0,9,3,143,165
0,0,0,9,4,142,165
0,0,0,9,5,184,165
0,0,0,10,1,19,165
0,0,0,10,2,154,165
0,0,0,10,3,56,165
0,0,0,10,4,101,165
0,0,0,10,5,27,165
0,0,0,11,1,128,151
0,0,0,11,2,7,140
0,0,0,11,3,42,140
0,0,0,11,4,168,151
0,0,0,11,5,158,140
0,0,0,12,1,108,210
0,0,0,12,2,171,210
0,0,0,12,3,47,210
0,0,0,12,4,42,210
0,0,0,12,5,158,210
0,0,0,13,1,135,210
0,0,0,13,2,121,210
0,0,0,13,3,111,210
0,0,0,13,4,36,140
0,0,0,13,5,108,246
0,0,0,14,1,94,210
0,0,0,14,2,137,210
0,0,0,14,3,110,210
0,0,0,14,4,23,210
0,0,0,14,5,135,210
0,0,0,15,1,189,210
0,0,0,15,2,48,117
0,0,0,15,3,99,367
0,0,0,15,4,114,307
0,0,0,15,5,183,367
0,0,0,16,1,172,151
0,0,0,16,2,46,151
0,0,0,16,3,184,151
0,0,0,16,4,113,151
0,0,0,16,5,182,151
0,0,0,17,1,178,369
0,0,0,17,2,132,139
0,0,0,17,3,25,127
0,0,0,17,4,110,139
0,0,0,17,5,30,127
0,0,0,18,1,40,122
0,0,0,18,2,38,140
0,0,0,18,3,115,140
0,0,0,18,4,58,140
0,0,0,18,5,70,133
0,0,0,19,1,168,157
0,0,0,19,2,184,44
0,0,0,19,3,182,80
0,0,0,19,4,12,210
0,0,0,19,5,184,307
0,0,1,0,1,156,179
0,0,1,0,2,198,179
0,0,1,0,3,153,179
0,0,1,0,4,170,68
0,0,1,0,5,119,179
0,0,1,1,1,52,141
0,0,1,1,2,70,68
0,0,1,1,3,89,68
0,0,1,1,4,85,68
0,0,1,1,5,155,68
0,0,1,2,1,42,246
0,0,1,2,2,191,353
0,0,1,2,3,42,154
0,0,1,2,4,84,353
0,0,1,2,5,159,353
0,0,1,3,1,130,198
0,0,1,3,2,196,142
0,0,1,3,3,195,132
0,0,1,3,4,20,186
0,0,1,3,5,184,198
0,0,1,4,1,191,268
0,0,1,4,2,65,68
0,0,1,4,3,124,68
0,0,1,4,4,178,295
0,0,1,4,5,184,268
0,0,1,5,1,181,141
0,0,1,5,2,44,141
0,0,1,5,3,188,141
0,0,1,5,4,29,84
0,0,1,5,5,9,141
0,0,1,6,1,18,295
0,0,1,6,2,143,295
0,0,1,6,3,61,295
0,0,1,6,4,157,295
0,0,1,6,5,106,295
0,0,1,7,1,76,72
0,0,1,7,2,79,72
0,0,1,7,3,124,72
0,0,1,7,4,143,72
0,0,1,7,5,115,72
0,0,1,8,1,25,344
0,0,1,8,2,60,344
0,0,1,8,3,193,72
0,0,1,8,4,180,344
0,0,1,8,5,102,369
0,0,1,9,1,16,353
0,0,1,9,2,70,353
0,0,1,9,3,127,353
0,0,1,9,4,23,353
0,0,1,9,5,154,353
0,0,1,10,1,154,353
0,0,1,10,2,0,353
0,0,1,10,3,57,353
0,0,1,10,4,100,353
0,0,1,10,5,84,353
0,0,1,11,1,92,295
0,0,1,11,2,110,72
0,0,1,11,3,105,72
0,0,1,11,4,172,72
0,0,1,11,5,142,72
0,0,1,12,1,99,191
0,0,1,12,2,98,72
0,0,1,12,3,184,72
0,0,1,12,4,178,321
0,0,1,12,5,107,72
0,0,1,13,1,173,295
0,0,1,13,2,14,72
0,0,1,13,3,180,295
0,0,1,13,4,63,295
0,0,1,13,5,143,295
0,0,1,14,1,192,141
0,0,1,14,2,58,141
0,0,1,14,3,188,141
0,0,1,14,4,181,141
0,0,1,14,5,97,208
0,0,1,15,1,184,268
0,0,1,15,2,176,68
0,0,1,15,3,154,246
0,0,1,15,4,154,132
0,0,1,15,5,21,68
0,0,1,16,1,126,198
0,0,1,16,2,75,186
0,0,1,16,3,86,186
0,0,1,16,4,130,198
0,0,1,16,5,184,198
0,0,1,17,1,1,268
0,0,1,17,2,2,268
0,0,1,17,3,3,268
0,0,1,17,4,4,268
0,0,1,17,5,67,47
0,0,1,18,1,83,68
0,0,1,18,2,5,141
0,0,1,18,3,136,295
0,0,1,18,4,162,72
0,0,1,18,5,82,68
0,0,1,19,1,125,170
0,0,1,19,2,196,68
0,0,1,19,3,63,170
0,0,1,19,4,195,68
0,0,1,19,5,187,68
0,0,2,0,1,104,357
0,0,2,0,2,1,357
0,0,2,0,3,2,357
0,0,2,0,4,3,357
0,0,2,0,5,4,357
0,0,2,1,1,48,37
0,0,2,1,2,65,37
0,0,2,1,3,38,357
0,0,2,1,4,5,357
0,0,2,1,5,110,37
0,0,2,2,1,14,16
0,0,2,2,2,68,16
0,0,2,2,3,109,16
