Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,11,0,1,87,140
0,0,11,0,2,150,140
0,0,11,0,3,313,140
0,0,11,0,4,204,140
0,0,11,0,5,52,140
0,0,10,0,1,150,83
0,0,10,0,2,87,83
0,0,10,0,3,88,83
0,0,10,0,4,87,314
0,0,10,0,5,49,32
0,0,9,0,1,150,259
0,0,9,0,2,150,134
0,0,9,0,3,87,259
0,0,9,0,4,150,154
0,0,9,0,5,313,212
0,0,8,0,1,150,297
0,0,8,0,2,219,222
0,0,8,0,3,233,127
0,0,8,0,4,31,127
0,0,8,0,5,102,127
0,0,7,0,1,196,132
0,0,7,0,2,219,144
0,0,7,0,3,283,120
0,0,7,0,4,283,132
0,0,7,0,5,219,158
0,0,6,0,1,283,45
0,0,6,0,2,196,45
0,0,6,0,3,283,129
0,0,6,0,4,289,22
0,0,6,0,5,177,129
0,0,5,0,1,283,213
0,0,5,0,2,283,369
0,0,5,0,3,87,369
0,0,5,0,4,299,369
0,0,5,0,5,215,369
0,0,4,0,1,299,99
0,0,4,0,2,283,99
0,0,4,0,3,57,241
0,0,4,0,4,283,156
0,0,4,0,5,299,359
0,0,3,0,1,84,169
0,0,3,0,2,87,346
0,0,3,0,3,4,169
0,0,3,0,4,4,285
0,0,3,0,5,355,346
0,0,2,0,1,190,309
0,0,2,0,2,190,210
0,0,2,0,3,231,265
0,0,2,0,4,381,20
0,0,2,0,5,190,248
0,0,1,0,1,195,249
0,0,1,0,2,11,249
0,0,1,0,3,43,249
0,0,1,0,4,219,349
0,0,1,0,5,347,149
0,0,0,0,1,100,59
0,0,0,0,2,121,59
0,0,0,0,3,14,59
0,0,0,0,4,247,9
0,0,0,0,5,304,59
0,200,11,0,1,310,326
0,200,11,0,2,119,326
0,200,11,0,3,310,275
0,200,11,0,4,310,346
0,200,11,0,5,43,326
0,200,10,0,1,310,83
0,200,10,0,2,310,89
0,200,10,0,3,119,83
0,200,10,0,4,310,371
0,200,10,0,5,119,89
0,200,9,0,1,319,259
0,200,9,0,2,310,151
0,200,9,0,3,310,259
0,200,9,0,4,319,208
0,200,9,0,5,108,259
0,200,8,0,1,119,222
0,200,8,0,2,108,222
0,200,8,0,3,119,297
0,200,8,0,4,108,276
0,200,8,0,5,108,256
0,200,7,0,1,319,120
0,200,7,0,2,319,117
0,200,7,0,3,119,117
0,200,7,0,4,155,117
0,200,7,0,5,319,202
0,200,6,0,1,155,45
0,200,6,0,2,193,51
0,200,6,0,3,193,45
0,200,6,0,4,331,45
0,200,6,0,5,319,45
0,200,5,0,1,282,369
0,200,5,0,2,319,369
0,200,5,0,3,319,213
0,200,5,0,4,264,369
0,200,5,0,5,282,213
0,200,4,0,1,196,135
0,200,4,0,2,196,156
0,200,4,0,3,318,156
0,200,4,0,4,20,135
0,200,4,0,5,318,184
0,200,3,0,1,328,382
0,200,3,0,2,193,346
0,200,3,0,3,319,382
0,200,3,0,4,318,346
0,200,3,0,5,318,157
0,200,2,0,1,259,143
0,200,2,0,2,259,185
0,200,2,0,3,259,32
0,200,2,0,4,259,190
0,200,2,0,5,259,60
0,200,1,0,1,301,249
0,200,1,0,2,301,327
0,200,1,0,3,244,249
0,200,1,0,4,183,249
0,200,1,0,5,259,327
0,200,0,0,1,149,306
0,200,0,0,2,335,306
0,200,0,0,3,133,59
0,200,0,0,4,136,306
0,200,0,0,5,313,306
0,400,11,0,1,53,213
0,400,11,0,2,53,240
0,400,11,0,3,326,213
0,400,11,0,4,107,71
0,400,11,0,5,326,140
0,400,10,0,1,107,222
0,400,10,0,2,107,314
0,400,10,0,3,326,314
0,400,10,0,4,326,222
0,400,10,0,5,107,240
0,400,9,0,1,326,21
0,400,9,0,2,112,21
0,400,9,0,3,107,21
0,400,9,0,4,14,21
0,400,9,0,5,53,21
0,400,8,0,1,112,256
0,400,8,0,2,112,276
0,400,8,0,3,112,265
0,400,8,0,4,112,73
0,400,8,0,5,112,26
0,400,7,0,1,112,158
0,400,7,0,2,107,158
0,400,7,0,3,326,158
0,400,7,0,4,7,158
0,400,7,0,5,112,335
0,400,6,0,1,239,62
0,400,6,0,2,112,349
0,400,6,0,3,112,332
0,400,6,0,4,239,189
0,400,6,0,5,107,116
0,400,5,0,1,7,243
0,400,5,0,2,369,64
0,400,5,0,3,7,63
0,400,5,0,4,7,64
0,400,5,0,5,369,243
0,400,4,0,1,369,304
0,400,4,0,2,84,304
0,400,4,0,3,369,32
0,400,4,0,4,7,304
0,400,4,0,5,15,304
0,400,3,0,1,7,209
0,400,3,0,2,7,247
0,400,3,0,3,272,56
0,400,3,0,4,272,5
0,400,3,0,5,239,209
0,400,2,0,1,132,143
0,400,2,0,2,107,309
0,400,2,0,3,107,210
0,400,2,0,4,107,167
0,400,2,0,5,377,143
0,400,1,0,1,182,327
0,400,1,0,2,337,327
0,400,1,0,3,182,249
0,400,1,0,4,337,349
0,400,1,0,5,182,85
0,400,0,0,1,65,59
0,400,0,0,2,294,59
0,400,0,0,3,44,59
0,400,0,0,4,65,4
0,400,0,0,5,96,59
0,600,11,0,1,88,374
0,600,11,0,2,22,374
0,600,11,0,3,89,374
0,600,11,0,4,173,213
0,600,11,0,5,130,213
0,600,10,0,1,277,21
0,600,10,0,2,7,45
0,600,10,0,3,7,120
0,600,10,0,4,7,364
0,600,10,0,5,263,83
0,600,9,0,1,234,21
0,600,9,0,2,173,21
