Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,0,0,1,16,96
0,0,0,0,2,153,368
0,0,0,0,3,121,200
0,0,0,0,4,15,355
0,0,0,0,5,94,1
0,0,1,0,1,313,249
0,0,1,0,2,318,182
0,0,1,0,3,335,80
0,0,1,0,4,364,371
0,0,1,0,5,326,324
0,0,2,0,1,379,125
0,0,2,0,2,117,17
0,0,2,0,3,297,336
0,0,2,0,4,219,81
0,0,2,0,5,277,74
0,0,3,0,1,223,373
0,0,3,0,2,301,194
0,0,3,0,3,336,364
0,0,3,0,4,92,256
0,0,3,0,5,343,52
0,0,4,0,1,51,123
0,0,4,0,2,328,140
0,0,4,0,3,342,215
0,0,4,0,4,213,156
0,0,4,0,5,338,175
0,0,5,0,1,159,322
0,0,5,0,2,75,211
0,0,5,0,3,16,213
0,0,5,0,4,376,113
0,0,5,0,5,304,121
0,0,6,0,1,247,3
0,0,6,0,2,133,281
0,0,6,0,3,373,109
0,0,6,0,4,190,256
0,0,6,0,5,149,212
0,0,7,0,1,264,149
0,0,7,0,2,328,15
0,0,7,0,3,32,338
0,0,7,0,4,298,366
0,0,7,0,5,348,20
0,0,8,0,1,352,369
0,0,8,0,2,127,40
0,0,8,0,3,160,310
0,0,8,0,4,271,375
0,0,8,0,5,71,156
0,0,9,0,1,258,123
0,0,9,0,2,354,198
0,0,9,0,3,122,257
0,0,9,0,4,93,169
0,0,9,0,5,243,271
0,0,10,0,1,170,191
0,0,10,0,2,6,45
0,0,10,0,3,242,228
0,0,10,0,4,267,325
0,0,10,0,5,322,26
0,0,11,0,1,113,283
0,0,11,0,2,320,104
0,0,11,0,3,382,22
0,0,11,0,4,38,363
0,0,11,0,5,285,257
0,200,0,0,1,15,355
0,200,0,0,2,366,35
0,200,0,0,3,88,267
0,200,0,0,4,63,369
0,200,0,0,5,144,205
0,200,1,0,1,318,182
0,200,1,0,2,75,174
0,200,1,0,3,331,68
0,200,1,0,4,335,80
0,200,1,0,5,248,198
0,200,2,0,1,117,17
0,200,2,0,2,98,105
0,200,2,0,3,279,22
0,200,2,0,4,236,102
0,200,2,0,5,284,218
0,200,3,0,1,87,295
0,200,3,0,2,250,341
0,200,3,0,3,203,148
0,200,3,0,4,20,46
0,200,3,0,5,69,77
0,200,4,0,1,32,9
0,200,4,0,2,102,172
0,200,4,0,3,338,175
0,200,4,0,4,251,228
0,200,4,0,5,43,373
0,200,5,0,1,159,322
0,200,5,0,2,358,258
0,200,5,0,3,251,61
0,200,5,0,4,34,167
0,200,5,0,5,14,200
0,200,6,0,1,222,180
0,200,6,0,2,239,266
0,200,6,0,3,9,32
0,200,6,0,4,217,219
0,200,6,0,5,334,94
0,200,7,0,1,158,350
0,200,7,0,2,198,231
0,200,7,0,3,65,289
0,200,7,0,4,100,55
0,200,7,0,5,298,366
0,200,8,0,1,365,195
0,200,8,0,2,27,2
0,200,8,0,3,323,148
0,200,8,0,4,370,157
0,200,8,0,5,352,369
0,200,9,0,1,321,316
0,200,9,0,2,92,252
0,200,9,0,3,198,78
0,200,9,0,4,314,357
0,200,9,0,5,258,123
0,200,10,0,1,88,339
0,200,10,0,2,256,369
0,200,10,0,3,256,135
0,200,10,0,4,82,63
0,200,10,0,5,181,98
0,200,11,0,1,113,283
0,200,11,0,2,256,307
0,200,11,0,3,140,337
0,200,11,0,4,281,149
0,200,11,0,5,38,363
0,400,0,0,1,144,205
0,400,0,0,2,15,355
0,400,0,0,3,366,35
0,400,0,0,4,15,305
0,400,0,0,5,67,40
0,400,1,0,1,318,182
0,400,1,0,2,335,80
0,400,1,0,3,318,330
0,400,1,0,4,326,324
0,400,1,0,5,75,174
0,400,2,0,1,117,17
0,400,2,0,2,376,96
0,400,2,0,3,43,250
0,400,2,0,4,236,102
0,400,2,0,5,241,275
0,400,3,0,1,87,295
0,400,3,0,2,306,321
0,400,3,0,3,223,373
0,400,3,0,4,88,88
0,400,3,0,5,69,77
0,400,4,0,1,248,292
0,400,4,0,2,238,94
0,400,4,0,3,360,153
0,400,4,0,4,32,9
0,400,4,0,5,251,228
0,400,5,0,1,159,322
0,400,5,0,2,34,167
0,400,5,0,3,358,258
0,400,5,0,4,72,326
0,400,5,0,5,241,231
0,400,6,0,1,222,180
0,400,6,0,2,230,61
0,400,6,0,3,99,337
0,400,6,0,4,346,294
0,400,6,0,5,256,76
0,400,7,0,1,198,231
0,400,7,0,2,261,340
0,400,7,0,3,65,289
0,400,7,0,4,158,350
0,400,7,0,5,236,37
0,400,8,0,1,74,170
0,400,8,0,2,222,343
0,400,8,0,3,323,148
0,400,8,0,4,287,172
0,400,8,0,5,335,134
0,400,9,0,1,158,266
0,400,9,0,2,198,78
0,400,9,0,3,321,316
0,400,9,0,4,314,357
0,400,9,0,5,319,326
0,400,10,0,1,256,135
0,400,10,0,2,256,369
0,400,10,0,3,323,97
0,400,10,0,4,82,63
0,400,10,0,5,88,339
0,400,11,0,1,113,283
0,400,11,0,2,256,307
0,400,11,0,3,298,31
0,400,11,0,4,210,229
0,400,11,0,5,248,138
0,600,0,0,1,144,205
0,600,0,0,2,366,35
0,600,0,0,3,311,370
0,600,0,0,4,15,355
0,600,0,0,5,88,267
0,600,1,0,1,318,182
0,600,1,0,2,326,324
0,600,1,0,3,75,174
0,600,1,0,4,318,330
0,600,1,0,5,335,80
0,600,2,0,1,44,291
0,600,2,0,2,43,250
0,600,2,0,3,117,17
0,600,2,0,4,279,22
0,600,2,0,5,356,189
0,600,3,0,1,87,295
0,600,3,0,2,88,88
0,600,3,0,3,193,122
0,600,3,0,4,306,321
0,600,3,0,5,327,267
0,600,4,0,1,248,292
0,600,4,0,2,238,94
0,600,4,0,3,18,335
0,600,4,0,4,251,228
0,600,4,0,5,360,153
0,600,5,0,1,159,322
0,600,5,0,2,34,167
0,600,5,0,3,241,231
0,600,5,0,4,358,258
0,600,5,0,5,72,326
0,600,6,0,1,222,180
0,600,6,0,2,230,61
0,600,6,0,3,256,76
0,600,6,0,4,346,294
0,600,6,0,5,99,337
0,600,7,0,1,198,231
0,600,7,0,2,277,165
0,600,7,0,3,261,340
0,600,7,0,4,35,233
0,600,7,0,5,247,148
0,600,8,0,1,287,172
0,600,8,0,2,74,170
0,600,8,0,3,222,343
0,600,8,0,4,148,124
0,600,8,0,5,323,148
0,600,9,0,1,230,142
0,600,9,0,2,314,357
0,600,9,0,3,198,78
0,600,9,0,4,158,266
0,600,9,0,5,243,353
0,600,10,0,1,256,135
0,600,10,0,2,256,369
0,600,10,0,3,88,339
0,600,10,0,4,248,210
0,600,10,0,5,323,97
0,600,11,0,1,256,307
0,600,11,0,2,113,283
0,600,11,0,3,110,203
0,600,11,0,4,298,31
0,600,11,0,5,248,138
0,800,0,0,1,311,370
0,800,0,0,2,366,35
0,800,0,0,3,144,205
0,800,0,0,4,330,235
0,800,0,0,5,15,355
0,800,1,0,1,318,182
0,800,1,0,2,288,13
0,800,1,0,3,75,174
0,800,1,0,4,335,80
0,800,1,0,5,318,330
0,800,2,0,1,43,250
0,800,2,0,2,328,86
0,800,2,0,3,44,291
0,800,2,0,4,117,17
0,800,2,0,5,374,277
0,800,3,0,1,87,295
0,800,3,0,2,193,122
0,800,3,0,3,327,267
0,800,3,0,4,88,88
0,800,3,0,5,36,24
0,800,4,0,1,248,292
0,800,4,0,2,238,94
0,800,4,0,3,221,340
0,800,4,0,4,18,335
0,800,4,0,5,360,153
0,800,5,0,1,159,322
0,800,5,0,2,241,231
0,800,5,0,3,358,258
0,800,5,0,4,46,269
0,800,5,0,5,72,326
0,800,6,0,1,222,180
0,800,6,0,2,230,61
0,800,6,0,3,346,294
0,800,6,0,4,256,76
0,800,6,0,5,149,212
0,800,7,0,1,198,231
0,800,7,0,2,261,340
0,800,7,0,3,132,109
0,800,7,0,4,247,148
0,800,7,0,5,236,37
0,800,8,0,1,287,172
0,800,8,0,2,323,148
0,800,8,0,3,296,267
0,800,8,0,4,74,170
0,800,8,0,5,290,204
0,800,9,0,1,314,357
0,800,9,0,2,230,142
0,800,9,0,3,243,353
0,800,9,0,4,198,78
0,800,9,0,5,158,266
0,800,10,0,1,256,135
0,800,10,0,2,256,369
0,800,10,0,3,88,339
0,800,10,0,4,323,97
0,800,10,0,5,248,210
0,800,11,0,1,256,307
0,800,11,0,2,113,283
0,800,11,0,3,110,203
0,800,11,0,4,298,31
0,800,11,0,5,248,138
0,1000,0,0,1,311,370
0,1000,0,0,2,366,35
0,1000,0,0,3,144,205
0,1000,0,0,4,241,307
0,1000,0,0,5,258,198
0,1000,1,0,1,236,335
0,1000,1,0,2,75,174
0,1000,1,0,3,335,80
0,1000,1,0,4,288,13
0,1000,1,0,5,318,182
0,1000,2,0,1,374,277
0,1000,2,0,2,43,250
0,1000,2,0,3,376,96
0,1000,2,0,4,58,142
0,1000,2,0,5,328,86
0,1000,3,0,1,87,295
0,1000,3,0,2,327,267
0,1000,3,0,3,36,24
0,1000,3,0,4,221,294
0,1000,3,0,5,316,188
0,1000,4,0,1,248,292
0,1000,4,0,2,238,94
0,1000,4,0,3,221,340
0,1000,4,0,4,18,335
0,1000,4,0,5,251,228
0,1000,5,0,1,241,231
