Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,11,0,1,0,877
0,0,11,0,2,0,1521
0,0,11,0,3,0,480
0,0,11,0,4,0,1079
0,0,11,0,5,0,538
0,0,11,1,1,0,115
0,0,11,1,2,0,543
0,0,11,1,3,0,1031
0,0,11,1,4,0,282
0,0,11,1,5,0,69
0,0,11,2,1,0,1142
0,0,11,2,2,0,141
0,0,11,2,3,0,94
0,0,11,2,4,0,1261
0,0,11,2,5,0,1196
0,0,11,3,1,0,207
0,0,11,3,2,0,780
0,0,11,3,3,0,570
0,0,11,3,4,0,1120
0,0,11,3,5,0,770
0,0,11,4,1,0,1159
0,0,11,4,2,0,97
0,0,11,4,3,0,590
0,0,11,4,4,0,1229
0,0,11,4,5,0,19
0,0,11,5,1,0,146
0,0,11,5,2,0,611
0,0,11,5,3,0,175
0,0,11,5,4,0,1129
0,0,11,5,5,0,1318
0,0,11,6,1,0,1229
0,0,11,6,2,0,1018
0,0,11,6,3,0,805
0,0,11,6,4,0,549
0,0,11,6,5,0,1490
0,0,11,7,1,0,916
0,0,11,7,2,0,30
0,0,11,7,3,0,281
0,0,11,7,4,0,483
0,0,11,7,5,0,1033
0,0,11,8,1,0,727
0,0,11,8,2,0,980
0,0,11,8,3,0,5
0,0,11,8,4,0,743
0,0,11,8,5,0,719
0,0,11,9,1,0,916
0,0,11,9,2,0,540
0,0,11,9,3,0,613
0,0,11,9,4,0,963
0,0,11,9,5,0,343
0,0,11,10,1,0,916
0,0,11,10,2,0,209
0,0,11,10,3,0,343
0,0,11,10,4,0,613
0,0,11,10,5,0,626
0,0,11,11,1,0,5
0,0,11,11,2,0,743
0,0,11,11,3,0,980
0,0,11,11,4,0,727
0,0,11,11,5,0,719
0,0,11,12,1,0,1243
0,0,11,12,2,0,30
0,0,11,12,3,0,916
0,0,11,12,4,0,1033
0,0,11,12,5,0,689
0,0,11,13,1,0,1229
0,0,11,13,2,0,805
0,0,11,13,3,0,1490
0,0,11,13,4,0,520
0,0,11,13,5,0,1018
0,0,11,14,1,0,175
0,0,11,14,2,0,146
0,0,11,14,3,0,207
0,0,11,14,4,0,611
0,0,11,14,5,0,281
0,0,11,15,1,0,1392
0,0,11,15,2,0,1279
0,0,11,15,3,0,1151
0,0,11,15,4,0,1271
0,0,11,15,5,0,1159
0,0,11,16,1,0,1522
0,0,11,16,2,0,780
0,0,11,16,3,0,954
0,0,11,16,4,0,1120
0,0,11,16,5,0,207
0,0,11,17,1,0,94
0,0,11,17,2,0,1293
0,0,11,17,3,0,1261
0,0,11,17,4,0,733
0,0,11,17,5,0,1312
0,0,11,18,1,0,543
0,0,11,18,2,0,1243
0,0,11,18,3,0,69
0,0,11,18,4,0,1459
0,0,11,18,5,0,115
0,0,11,19,1,0,877
0,0,11,19,2,0,1498
0,0,11,19,3,0,480
0,0,11,19,4,0,369
0,0,11,19,5,0,1392
0,0,10,0,1,0,637
0,0,10,0,2,0,536
0,0,10,0,3,0,595
0,0,10,0,4,0,1027
0,0,10,0,5,0,699
0,0,10,1,1,0,1004
0,0,10,1,2,0,792
0,0,10,1,3,0,1532
0,0,10,1,4,0,879
0,0,10,1,5,0,476
0,0,10,2,1,0,155
0,0,10,2,2,0,767
0,0,10,2,3,0,254
0,0,10,2,4,0,1361
0,0,10,2,5,0,815
0,0,10,3,1,0,562
0,0,10,3,2,0,654
0,0,10,3,3,0,884
0,0,10,3,4,0,382
0,0,10,3,5,0,1346
0,0,10,4,1,0,114
0,0,10,4,2,0,1045
0,0,10,4,3,0,132
0,0,10,4,4,0,516
0,0,10,4,5,0,614
0,0,10,5,1,0,1237
0,0,10,5,2,0,1070
0,0,10,5,3,0,94
0,0,10,5,4,0,717
0,0,10,5,5,0,305
0,0,10,6,1,0,1375
0,0,10,6,2,0,1312
0,0,10,6,3,0,687
0,0,10,6,4,0,1105
0,0,10,6,5,0,696
0,0,10,7,1,0,216
0,0,10,7,2,0,782
0,0,10,7,3,0,1278
0,0,10,7,4,0,74
0,0,10,7,5,0,455
0,0,10,8,1,0,1231
0,0,10,8,2,0,928
0,0,10,8,3,0,564
0,0,10,8,4,0,736
0,0,10,8,5,0,1079
0,0,10,9,1,0,907
0,0,10,9,2,0,868
0,0,10,9,3,0,580
0,0,10,9,4,0,350
0,0,10,9,5,0,1169
0,0,10,10,1,0,868
0,0,10,10,2,0,580
0,0,10,10,3,0,907
0,0,10,10,4,0,185
0,0,10,10,5,0,1034
0,0,10,11,1,0,861
0,0,10,11,2,0,965
0,0,10,11,3,0,1083
0,0,10,11,4,0,722
0,0,10,11,5,0,430
0,0,10,12,1,0,790
0,0,10,12,2,0,1278
0,0,10,12,3,0,1465
0,0,10,12,4,0,787
0,0,10,12,5,0,455
0,0,10,13,1,0,1375
0,0,10,13,2,0,1312
0,0,10,13,3,0,687
0,0,10,13,4,0,1229
0,0,10,13,5,0,1330
0,0,10,14,1,0,1237
0,0,10,14,2,0,1070
0,0,10,14,3,0,717
0,0,10,14,4,0,602
0,0,10,14,5,0,318
0,0,10,15,1,0,726
0,0,10,15,2,0,114
0,0,10,15,3,0,1312
0,0,10,15,4,0,1045
0,0,10,15,5,0,516
0,0,10,16,1,0,654
0,0,10,16,2,0,884
0,0,10,16,3,0,1346
0,0,10,16,4,0,307
0,0,10,16,5,0,271
0,0,10,17,1,0,751
0,0,10,17,2,0,435
0,0,10,17,3,0,724
0,0,10,17,4,0,9
0,0,10,17,5,0,597
0,0,10,18,1,0,1532
0,0,10,18,2,0,1004
0,0,10,18,3,0,85
0,0,10,18,4,0,1503
0,0,10,18,5,0,792
0,0,10,19,1,0,637
0,0,10,19,2,0,595
0,0,10,19,3,0,1027
0,0,10,19,4,0,536
0,0,10,19,5,0,1012
0,0,9,0,1,0,741
0,0,9,0,2,0,451
0,0,9,0,3,0,1348
0,0,9,0,4,0,658
0,0,9,0,5,0,876
0,0,9,1,1,0,1114
0,0,9,1,2,0,141
0,0,9,1,3,0,1072
0,0,9,1,4,0,265
0,0,9,1,5,0,1011
0,0,9,2,1,0,637
0,0,9,2,2,0,795
0,0,9,2,3,0,947
0,0,9,2,4,0,1319
0,0,9,2,5,0,428
0,0,9,3,1,0,163
0,0,9,3,2,0,976
0,0,9,3,3,0,1320
0,0,9,3,4,0,860
0,0,9,3,5,0,1400
0,0,9,4,1,0,1015
0,0,9,4,2,0,172
0,0,9,4,3,0,362
0,0,9,4,4,0,338
0,0,9,4,5,0,1194
0,0,9,5,1,0,1298
0,0,9,5,2,0,962
0,0,9,5,3,0,535
0,0,9,5,4,0,1343
0,0,9,5,5,0,1203
0,0,9,6,1,0,301
0,0,9,6,2,0,1202
0,0,9,6,3,0,1031
0,0,9,6,4,0,749
0,0,9,6,5,0,307
0,0,9,7,1,0,1503
0,0,9,7,2,0,1085
0,0,9,7,3,0,973
0,0,9,7,4,0,1481
0,0,9,7,5,0,28
0,0,9,8,1,0,1236
0,0,9,8,2,0,754
0,0,9,8,3,0,962
0,0,9,8,4,0,1392
0,0,9,8,5,0,1343
0,0,9,9,1,0,1380
0,0,9,9,2,0,1519
0,0,9,9,3,0,870
0,0,9,9,4,0,1233
0,0,9,9,5,0,896
0,0,9,10,1,0,1380
0,0,9,10,2,0,54
0,0,9,10,3,0,870
0,0,9,10,4,0,1233
0,0,9,10,5,0,1519
0,0,9,11,1,0,1236
0,0,9,11,2,0,1388
0,0,9,11,3,0,1392
0,0,9,11,4,0,962
0,0,9,11,5,0,754
0,0,9,12,1,0,1503
0,0,9,12,2,0,1085
0,0,9,12,3,0,1255
0,0,9,12,4,0,820
0,0,9,12,5,0,1333
0,0,9,13,1,0,301
0,0,9,13,2,0,1510
0,0,9,13,3,0,749
0,0,9,13,4,0,1031
0,0,9,13,5,0,1202
0,0,9,14,1,0,694
0,0,9,14,2,0,787
0,0,9,14,3,0,1230
0,0,9,14,4,0,1343
0,0,9,14,5,0,868
0,0,9,15,1,0,177
0,0,9,15,2,0,221
0,0,9,15,3,0,690
0,0,9,15,4,0,237
0,0,9,15,5,0,580
0,0,9,16,1,0,860
0,0,9,16,2,0,793
0,0,9,16,3,0,1400
0,0,9,16,4,0,346
0,0,9,16,5,0,253
0,0,9,17,1,0,637
0,0,9,17,2,0,795
0,0,9,17,3,0,1285
0,0,9,17,4,0,1319
0,0,9,17,5,0,154
0,0,9,18,1,0,1303
0,0,9,18,2,0,1114
0,0,9,18,3,0,586
0,0,9,18,4,0,914
0,0,9,18,5,0,956
0,0,9,19,1,0,1348
0,0,9,19,2,0,221
0,0,9,19,3,0,973
0,0,9,19,4,0,658
0,0,9,19,5,0,964
0,0,8,0,1,0,403
0,0,8,0,2,0,1470
0,0,8,0,3,0,341
0,0,8,0,4,0,1339
0,0,8,0,5,0,1267
0,0,8,1,1,0,123
0,0,8,1,2,0,721
0,0,8,1,3,0,375
0,0,8,1,4,0,778
0,0,8,1,5,0,378
0,0,8,2,1,0,1531
0,0,8,2,2,0,197
0,0,8,2,3,0,725
0,0,8,2,4,0,1339
0,0,8,2,5,0,559
0,0,8,3,1,0,263
0,0,8,3,2,0,552
0,0,8,3,3,0,1488
0,0,8,3,4,0,703
0,0,8,3,5,0,228
0,0,8,4,1,0,55
0,0,8,4,2,0,317
0,0,8,4,3,0,103
0,0,8,4,4,0,1427
0,0,8,4,5,0,794
0,0,8,5,1,0,1398
0,0,8,5,2,0,417
0,0,8,5,3,0,262
0,0,8,5,4,0,1431
0,0,8,5,5,0,1384
0,0,8,6,1,0,1114
0,0,8,6,2,0,1102
0,0,8,6,3,0,715
0,0,8,6,4,0,778
0,0,8,6,5,0,32
0,0,8,7,1,0,1348
0,0,8,7,2,0,557
0,0,8,7,3,0,49
0,0,8,7,4,0,779
0,0,8,7,5,0,1176
0,0,8,8,1,0,728
0,0,8,8,2,0,1285
0,0,8,8,3,0,945
0,0,8,8,4,0,183
0,0,8,8,5,0,1353
0,0,8,9,1,0,900
0,0,8,9,2,0,128
0,0,8,9,3,0,1503
0,0,8,9,4,0,976
0,0,8,9,5,0,186
0,0,8,10,1,0,976
0,0,8,10,2,0,128
0,0,8,10,3,0,900
0,0,8,10,4,0,347
0,0,8,10,5,0,1503
0,0,8,11,1,0,1285
0,0,8,11,2,0,945
0,0,8,11,3,0,728
0,0,8,11,4,0,183
0,0,8,11,5,0,119
0,0,8,12,1,0,403
0,0,8,12,2,0,1348
0,0,8,12,3,0,373
0,0,8,12,4,0,1176
0,0,8,12,5,0,922
0,0,8,13,1,0,1114
0,0,8,13,2,0,43
0,0,8,13,3,0,1205
0,0,8,13,4,0,1060
0,0,8,13,5,0,964
0,0,8,14,1,0,1398
0,0,8,14,2,0,482
0,0,8,14,3,0,262
0,0,8,14,4,0,1384
0,0,8,14,5,0,1382
0,0,8,15,1,0,317
0,0,8,15,2,0,560
0,0,8,15,3,0,55
0,0,8,15,4,0,277
0,0,8,15,5,0,43
0,0,8,16,1,0,913
0,0,8,16,2,0,263
0,0,8,16,3,0,357
0,0,8,16,4,0,789
0,0,8,16,5,0,1233
0,0,8,17,1,0,197
0,0,8,17,2,0,1531
0,0,8,17,3,0,138
0,0,8,17,4,0,725
0,0,8,17,5,0,1271
0,0,8,18,1,0,721
0,0,8,18,2,0,375
0,0,8,18,3,0,778
0,0,8,18,4,0,1046
0,0,8,18,5,0,123
0,0,8,19,1,0,1470
0,0,8,19,2,0,403
0,0,8,19,3,0,1339
0,0,8,19,4,0,509
0,0,8,19,5,0,1267
0,0,7,0,1,0,1101
0,0,7,0,2,0,86
0,0,7,0,3,0,316
0,0,7,0,4,0,892
0,0,7,0,5,0,1338
0,0,7,1,1,0,1480
0,0,7,1,2,0,1027
0,0,7,1,3,0,1196
0,0,7,1,4,0,544
0,0,7,1,5,0,624
0,0,7,2,1,0,1256
0,0,7,2,2,0,1431
0,0,7,2,3,0,194
0,0,7,2,4,0,1343
0,0,7,2,5,0,963
0,0,7,3,1,0,1278
0,0,7,3,2,0,1517
0,0,7,3,3,0,157
0,0,7,3,4,0,1421
0,0,7,3,5,0,1208
0,0,7,4,1,0,681
0,0,7,4,2,0,237
0,0,7,4,3,0,208
0,0,7,4,4,0,437
0,0,7,4,5,0,673
0,0,7,5,1,0,381
0,0,7,5,2,0,426
0,0,7,5,3,0,220
0,0,7,5,4,0,827
0,0,7,5,5,0,429
0,0,7,6,1,0,286
0,0,7,6,2,0,1280
0,0,7,6,3,0,1098
0,0,7,6,4,0,802
0,0,7,6,5,0,111
0,0,7,7,1,0,1028
0,0,7,7,2,0,1316
0,0,7,7,3,0,214
0,0,7,7,4,0,416
0,0,7,7,5,0,587
0,0,7,8,1,0,324
0,0,7,8,2,0,451
0,0,7,8,3,0,586
0,0,7,8,4,0,47
