Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,0,0,1,752,353
0,0,0,0,2,348,343
0,0,0,0,3,1208,240
0,0,0,0,4,628,264
0,0,0,0,5,472,372
0,0,1,0,1,798,193
0,0,1,0,2,861,118
0,0,1,0,3,244,284
0,0,1,0,4,444,309
0,0,1,0,5,578,354
0,0,2,0,1,266,150
0,0,2,0,2,216,63
0,0,2,0,3,368,295
0,0,2,0,4,766,188
0,0,2,0,5,1444,139
0,0,3,0,1,1034,195
0,0,3,0,2,1137,279
0,0,3,0,3,1264,239
0,0,3,0,4,101,166
0,0,3,0,5,1465,51
0,0,4,0,1,105,12
0,0,4,0,2,137,177
0,0,4,0,3,1135,65
0,0,4,0,4,1291,370
0,0,4,0,5,391,21
0,0,5,0,1,1461,297
0,0,5,0,2,290,369
0,0,5,0,3,880,174
0,0,5,0,4,471,230
0,0,5,0,5,826,85
0,0,6,0,1,632,42
0,0,6,0,2,991,247
0,0,6,0,3,1399,315
0,0,6,0,4,519,120
0,0,6,0,5,1231,236
0,0,7,0,1,889,136
0,0,7,0,2,1080,93
0,0,7,0,3,1395,309
0,0,7,0,4,1203,54
0,0,7,0,5,1127,324
0,0,8,0,1,255,280
0,0,8,0,2,419,362
0,0,8,0,3,629,175
0,0,8,0,4,941,251
0,0,8,0,5,1495,249
0,0,9,0,1,898,92
0,0,9,0,2,851,297
0,0,9,0,3,1157,79
0,0,9,0,4,807,1
0,0,9,0,5,941,242
0,0,10,0,1,838,383
0,0,10,0,2,535,55
0,0,10,0,3,1229,256
0,0,10,0,4,1021,377
0,0,10,0,5,533,369
0,0,11,0,1,1380,193
0,0,11,0,2,326,51
0,0,11,0,3,564,377
0,0,11,0,4,916,240
0,0,11,0,5,914,287
0,200,0,0,1,1108,20
0,200,0,0,2,244,227
0,200,0,0,3,130,312
0,200,0,0,4,165,118
0,200,0,0,5,1067,84
0,200,1,0,1,38,74
0,200,1,0,2,490,253
0,200,1,0,3,15,66
0,200,1,0,4,631,194
0,200,1,0,5,925,84
0,200,2,0,1,266,150
0,200,2,0,2,766,188
0,200,2,0,3,804,369
0,200,2,0,4,1094,297
0,200,2,0,5,170,302
0,200,3,0,1,1034,195
0,200,3,0,2,1448,264
0,200,3,0,3,754,147
0,200,3,0,4,493,213
0,200,3,0,5,71,112
0,200,4,0,1,224,64
0,200,4,0,2,235,379
0,200,4,0,3,498,252
0,200,4,0,4,512,58
0,200,4,0,5,795,164
0,200,5,0,1,810,180
0,200,5,0,2,983,81
0,200,5,0,3,1331,147
0,200,5,0,4,338,149
0,200,5,0,5,803,211
0,200,6,0,1,475,138
0,200,6,0,2,984,45
0,200,6,0,3,1250,293
0,200,6,0,4,1087,193
0,200,6,0,5,74,115
0,200,7,0,1,965,128
0,200,7,0,2,717,341
0,200,7,0,3,199,125
0,200,7,0,4,169,339
0,200,7,0,5,563,26
0,200,8,0,1,1402,61
0,200,8,0,2,1014,258
0,200,8,0,3,477,265
0,200,8,0,4,457,161
0,200,8,0,5,75,86
0,200,9,0,1,185,125
0,200,9,0,2,30,224
0,200,9,0,3,1469,37
0,200,9,0,4,713,343
0,200,9,0,5,976,123
0,200,10,0,1,148,19
0,200,10,0,2,62,333
0,200,10,0,3,805,132
0,200,10,0,4,576,48
0,200,10,0,5,742,204
0,200,11,0,1,710,132
0,200,11,0,2,1394,346
0,200,11,0,3,230,234
0,200,11,0,4,207,114
0,200,11,0,5,1161,367
0,400,0,0,1,1274,16
0,400,0,0,2,1108,20
0,400,0,0,3,110,115
0,400,0,0,4,116,95
0,400,0,0,5,18,354
0,400,1,0,1,631,194
0,400,1,0,2,15,66
0,400,1,0,3,38,74
0,400,1,0,4,551,374
0,400,1,0,5,1283,339
0,400,2,0,1,266,150
0,400,2,0,2,1093,327
0,400,2,0,3,766,188
0,400,2,0,4,872,356
0,400,2,0,5,948,367
0,400,3,0,1,698,110
0,400,3,0,2,1034,195
0,400,3,0,3,875,301
0,400,3,0,4,387,323
0,400,3,0,5,621,67
0,400,4,0,1,235,379
0,400,4,0,2,531,13
0,400,4,0,3,498,252
0,400,4,0,4,972,56
0,400,4,0,5,453,377
0,400,5,0,1,810,180
0,400,5,0,2,1331,147
0,400,5,0,3,730,177
0,400,5,0,4,834,53
0,400,5,0,5,818,231
0,400,6,0,1,220,17
0,400,6,0,2,984,45
0,400,6,0,3,883,18
0,400,6,0,4,991,247
0,400,6,0,5,1087,193
0,400,7,0,1,199,125
0,400,7,0,2,717,341
0,400,7,0,3,480,1
0,400,7,0,4,1221,168
0,400,7,0,5,169,339
0,400,8,0,1,758,172
0,400,8,0,2,11,56
0,400,8,0,3,308,276
0,400,8,0,4,457,161
0,400,8,0,5,1342,348
0,400,9,0,1,903,274
0,400,9,0,2,600,209
0,400,9,0,3,1469,37
0,400,9,0,4,366,166
0,400,9,0,5,898,92
0,400,10,0,1,62,333
0,400,10,0,2,576,48
0,400,10,0,3,148,19
0,400,10,0,4,742,204
0,400,10,0,5,1390,108
0,400,11,0,1,1016,173
0,400,11,0,2,1165,34
0,400,11,0,3,1160,105
0,400,11,0,4,1333,308
0,400,11,0,5,428,316
0,600,0,0,1,1108,20
0,600,0,0,2,110,115
0,600,0,0,3,116,95
0,600,0,0,4,1250,269
0,600,0,0,5,244,227
0,600,1,0,1,631,194
0,600,1,0,2,551,374
0,600,1,0,3,1249,211
0,600,1,0,4,1346,265
0,600,1,0,5,844,283
0,600,2,0,1,948,367
0,600,2,0,2,216,63
0,600,2,0,3,766,188
0,600,2,0,4,1211,288
0,600,2,0,5,794,5
0,600,3,0,1,698,110
0,600,3,0,2,1332,152
0,600,3,0,3,530,211
0,600,3,0,4,1433,373
0,600,3,0,5,496,145
0,600,4,0,1,224,64
0,600,4,0,2,1169,239
0,600,4,0,3,3,359
0,600,4,0,4,235,379
0,600,4,0,5,531,13
0,600,5,0,1,810,180
0,600,5,0,2,730,177
0,600,5,0,3,834,53
0,600,5,0,4,995,282
0,600,5,0,5,1391,112
0,600,6,0,1,883,18
0,600,6,0,2,220,17
0,600,6,0,3,1114,171
0,600,6,0,4,808,40
0,600,6,0,5,338,25
0,600,7,0,1,199,125
0,600,7,0,2,169,339
0,600,7,0,3,1221,168
0,600,7,0,4,1254,161
0,600,7,0,5,717,341
0,600,8,0,1,758,172
0,600,8,0,2,11,56
0,600,8,0,3,457,161
0,600,8,0,4,477,265
0,600,8,0,5,1342,348
0,600,9,0,1,903,274
0,600,9,0,2,1469,37
0,600,9,0,3,1243,269
0,600,9,0,4,351,343
0,600,9,0,5,211,351
0,600,10,0,1,62,333
0,600,10,0,2,576,48
0,600,10,0,3,971,303
0,600,10,0,4,840,167
0,600,10,0,5,46,211
0,600,11,0,1,1016,173
0,600,11,0,2,1160,105
0,600,11,0,3,1165,34
0,600,11,0,4,1333,308
0,600,11,0,5,969,342
0,800,0,0,1,1108,20
0,800,0,0,2,18,354
0,800,0,0,3,1274,16
0,800,0,0,4,110,115
0,800,0,0,5,244,227
0,800,1,0,1,631,194
0,800,1,0,2,551,374
0,800,1,0,3,1360,185
0,800,1,0,4,15,66
0,800,1,0,5,921,361
0,800,2,0,1,216,63
0,800,2,0,2,1117,141
0,800,2,0,3,1282,64
0,800,2,0,4,1342,53
0,800,2,0,5,1147,32
0,800,3,0,1,698,110
0,800,3,0,2,530,211
0,800,3,0,3,1332,152
0,800,3,0,4,1531,362
0,800,3,0,5,876,339
0,800,4,0,1,656,198
0,800,4,0,2,1378,377
0,800,4,0,3,1169,239
0,800,4,0,4,235,379
0,800,4,0,5,588,361
0,800,5,0,1,1035,110
0,800,5,0,2,810,180
0,800,5,0,3,818,231
0,800,5,0,4,376,231
0,800,5,0,5,834,53
0,800,6,0,1,1114,171
0,800,6,0,2,1091,251
0,800,6,0,3,338,25
0,800,6,0,4,351,129
0,800,6,0,5,883,18
0,800,7,0,1,449,124
0,800,7,0,2,199,125
0,800,7,0,3,169,339
0,800,7,0,4,620,235
0,800,7,0,5,717,341
0,800,8,0,1,758,172
0,800,8,0,2,477,265
0,800,8,0,3,11,56
0,800,8,0,4,1342,348
0,800,8,0,5,457,161
0,800,9,0,1,903,274
0,800,9,0,2,211,351
0,800,9,0,3,351,343
0,800,9,0,4,645,298
0,800,9,0,5,1243,269
0,800,10,0,1,62,333
0,800,10,0,2,971,303
0,800,10,0,3,576,48
0,800,10,0,4,313,75
0,800,10,0,5,927,341
0,800,11,0,1,1016,173
0,800,11,0,2,1333,308
0,800,11,0,3,207,114
0,800,11,0,4,564,377
0,800,11,0,5,1040,63
0,1000,0,0,1,18,354
0,1000,0,0,2,1108,20
0,1000,0,0,3,92,278
0,1000,0,0,4,1250,269
0,1000,0,0,5,1295,223
0,1000,1,0,1,631,194
0,1000,1,0,2,551,374
0,1000,1,0,3,1360,185
0,1000,1,0,4,921,361
0,1000,1,0,5,1074,113
0,1000,2,0,1,1282,64
0,1000,2,0,2,1211,288
0,1000,2,0,3,1412,145
0,1000,2,0,4,1117,141
0,1000,2,0,5,1147,32
0,1000,3,0,1,698,110
0,1000,3,0,2,1332,152
0,1000,3,0,3,1531,362
0,1000,3,0,4,1034,195
0,1000,3,0,5,530,211
0,1000,4,0,1,1378,377
0,1000,4,0,2,588,361
0,1000,4,0,3,419,354
0,1000,4,0,4,1169,239
0,1000,4,0,5,656,198
0,1000,5,0,1,1035,110
0,1000,5,0,2,818,231
0,1000,5,0,3,810,180
0,1000,5,0,4,834,53
0,1000,5,0,5,417,109
0,1000,6,0,1,1091,251
0,1000,6,0,2,1114,171
0,1000,6,0,3,59,268
0,1000,6,0,4,991,247
0,1000,6,0,5,1528,38
0,1000,7,0,1,449,124
0,1000,7,0,2,199,125
0,1000,7,0,3,620,235
0,1000,7,0,4,1430,365
0,1000,7,0,5,1188,212
0,1000,8,0,1,758,172
0,1000,8,0,2,1342,348
0,1000,8,0,3,1263,264
0,1000,8,0,4,487,242
0,1000,8,0,5,11,56
0,1000,9,0,1,903,274
0,1000,9,0,2,645,298
0,1000,9,0,3,138,298
0,1000,9,0,4,351,343
0,1000,9,0,5,972,6
0,1000,10,0,1,62,333
0,1000,10,0,2,971,303
0,1000,10,0,3,1499,89
0,1000,10,0,4,1311,359
0,1000,10,0,5,455,290
0,1000,11,0,1,1016,173
0,1000,11,0,2,1160,105
0,1000,11,0,3,1333,308
0,1000,11,0,4,1040,63
0,1000,11,0,5,969,342
0,1200,0,0,1,18,354
0,1200,0,0,2,1108,20
0,1200,0,0,3,92,278
0,1200,0,0,4,961,193
0,1200,0,0,5,820,29
0,1200,1,0,1,921,361
0,1200,1,0,2,551,374
0,1200,1,0,3,631,194
0,1200,1,0,4,1074,113
0,1200,1,0,5,1360,185
0,1200,2,0,1,1211,288
0,1200,2,0,2,1147,32
0,1200,2,0,3,1412,145
0,1200,2,0,4,216,63
0,1200,2,0,5,1282,64
0,1200,3,0,1,698,110
0,1200,3,0,2,1332,152
0,1200,3,0,3,876,339
0,1200,3,0,4,1034,195
0,1200,3,0,5,172,8
0,1200,4,0,1,419,354
0,1200,4,0,2,1378,377
0,1200,4,0,3,656,198
0,1200,4,0,4,728,347
0,1200,4,0,5,1169,239
0,1200,5,0,1,818,231
0,1200,5,0,2,810,180
0,1200,5,0,3,1035,110
0,1200,5,0,4,376,231
0,1200,5,0,5,834,53
0,1200,6,0,1,1091,251
0,1200,6,0,2,1087,193
0,1200,6,0,3,59,268
0,1200,6,0,4,1528,38
0,1200,6,0,5,1114,171
0,1200,7,0,1,449,124
0,1200,7,0,2,1430,365
0,1200,7,0,3,717,341
0,1200,7,0,4,810,215
0,1200,7,0,5,291,154
0,1200,8,0,1,758,172
0,1200,8,0,2,1342,348
0,1200,8,0,3,464,15
0,1200,8,0,4,1263,264
0,1200,8,0,5,783,150
0,1200,9,0,1,211,351
0,1200,9,0,2,645,298
0,1200,9,0,3,138,298
0,1200,9,0,4,903,274
0,1200,9,0,5,351,343
0,1200,10,0,1,62,333
0,1200,10,0,2,971,303
0,1200,10,0,3,313,75
0,1200,10,0,4,766,17
0,1200,10,0,5,1499,89
0,1200,11,0,1,1016,173
0,1200,11,0,2,1040,63
0,1200,11,0,3,1160,105
0,1200,11,0,4,1333,308
0,1200,11,0,5,969,342
0,1400,0,0,1,18,354
0,1400,0,0,2,1108,20
0,1400,0,0,3,820,29
0,1400,0,0,4,961,193
0,1400,0,0,5,1454,341
0,1400,1,0,1,116,188
0,1400,1,0,2,1360,185
0,1400,1,0,3,921,361
0,1400,1,0,4,551,374
0,1400,1,0,5,562,136
0,1400,2,0,1,1211,288
0,1400,2,0,2,1147,32
0,1400,2,0,3,1412,145
0,1400,2,0,4,1282,64
0,1400,2,0,5,950,74
0,1400,3,0,1,1332,152
0,1400,3,0,2,698,110
0,1400,3,0,3,876,339
0,1400,3,0,4,530,211
0,1400,3,0,5,1531,362
0,1400,4,0,1,419,354
0,1400,4,0,2,1378,377
0,1400,4,0,3,224,64
0,1400,4,0,4,728,347
0,1400,4,0,5,656,198
0,1400,5,0,1,810,180
0,1400,5,0,2,818,231
0,1400,5,0,3,1035,110
0,1400,5,0,4,376,231
0,1400,5,0,5,834,53
0,1400,6,0,1,1091,251
0,1400,6,0,2,1087,193
0,1400,6,0,3,1528,38
0,1400,6,0,4,432,163
0,1400,6,0,5,135,24
0,1400,7,0,1,449,124
0,1400,7,0,2,1221,168
0,1400,7,0,3,717,341
0,1400,7,0,4,1460,264
0,1400,7,0,5,1348,49
0,1400,8,0,1,758,172
0,1400,8,0,2,464,15
0,1400,8,0,3,477,265
0,1400,8,0,4,1263,264
0,1400,8,0,5,1342,348
0,1400,9,0,1,211,351
0,1400,9,0,2,645,298
0,1400,9,0,3,138,298
0,1400,9,0,4,187,334
0,1400,9,0,5,1066,353
0,1400,10,0,1,62,333
0,1400,10,0,2,971,303
0,1400,10,0,3,766,17
0,1400,10,0,4,1499,89
0,1400,10,0,5,313,75
0,1400,11,0,1,1016,173
0,1400,11,0,2,1333,308
0,1400,11,0,3,1160,105
0,1400,11,0,4,1040,63
0,1400,11,0,5,207,114
0,1600,0,0,1,18,354
0,1600,0,0,2,961,193
0,1600,0,0,3,1108,20
0,1600,0,0,4,203,311
0,1600,0,0,5,1454,341
0,1600,1,0,1,1360,185
0,1600,1,0,2,921,361
0,1600,1,0,3,116,188
0,1600,1,0,4,1074,113
0,1600,1,0,5,346,53
0,1600,2,0,1,1211,288
0,1600,2,0,2,1412,145
0,1600,2,0,3,216,63
0,1600,2,0,4,1147,32
0,1600,2,0,5,950,74
0,1600,3,0,1,1332,152
0,1600,3,0,2,876,339
0,1600,3,0,3,698,110
0,1600,3,0,4,1095,234
0,1600,3,0,5,530,211
0,1600,4,0,1,419,354
0,1600,4,0,2,1378,377
0,1600,4,0,3,224,64
0,1600,4,0,4,656,198
0,1600,4,0,5,991,298
0,1600,5,0,1,376,231
0,1600,5,0,2,818,231
0,1600,5,0,3,1035,110
0,1600,5,0,4,810,180
0,1600,5,0,5,834,53
0,1600,6,0,1,1091,251
0,1600,6,0,2,1528,38
0,1600,6,0,3,1087,193
0,1600,6,0,4,432,163
0,1600,6,0,5,260,72
0,1600,7,0,1,717,341
0,1600,7,0,2,1188,212
0,1600,7,0,3,199,125
0,1600,7,0,4,810,215
0,1600,7,0,5,1348,49
0,1600,8,0,1,464,15
0,1600,8,0,2,1263,264
0,1600,8,0,3,11,56
0,1600,8,0,4,758,172
0,1600,8,0,5,477,265
0,1600,9,0,1,645,298
0,1600,9,0,2,211,351
0,1600,9,0,3,1490,188
0,1600,9,0,4,138,298
0,1600,9,0,5,1066,353
0,1600,10,0,1,62,333
0,1600,10,0,2,766,17
0,1600,10,0,3,971,303
0,1600,10,0,4,1311,359
0,1600,10,0,5,1499,89
0,1600,11,0,1,1016,173
0,1600,11,0,2,1333,308
0,1600,11,0,3,1160,105
0,1600,11,0,4,207,114
0,1600,11,0,5,969,342
0,1800,0,0,1,18,354
0,1800,0,0,2,1108,20
0,1800,0,0,3,961,193
0,1800,0,0,4,92,278
0,1800,0,0,5,203,311
0,1800,1,0,1,1360,185
0,1800,1,0,2,116,188
0,1800,1,0,3,921,361
0,1800,1,0,4,346,53
0,1800,1,0,5,734,216
0,1800,2,0,1,1211,288
0,1800,2,0,2,95,187
0,1800,2,0,3,1282,64
0,1800,2,0,4,216,63
0,1800,2,0,5,950,74
0,1800,3,0,1,1332,152
0,1800,3,0,2,1531,362
0,1800,3,0,3,876,339
0,1800,3,0,4,1508,378
0,1800,3,0,5,172,8
0,1800,4,0,1,656,198
0,1800,4,0,2,1378,377
0,1800,4,0,3,224,64
0,1800,4,0,4,419,354
0,1800,4,0,5,3,359
0,1800,5,0,1,376,231
0,1800,5,0,2,818,231
0,1800,5,0,3,810,180
0,1800,5,0,4,834,53
0,1800,5,0,5,1035,110
0,1800,6,0,1,1091,251
0,1800,6,0,2,1087,193
0,1800,6,0,3,1528,38
0,1800,6,0,4,1532,382
0,1800,6,0,5,432,163
0,1800,7,0,1,717,341
0,1800,7,0,2,1188,212
0,1800,7,0,3,1169,343
0,1800,7,0,4,1460,264
0,1800,7,0,5,430,20
0,1800,8,0,1,464,15
0,1800,8,0,2,1263,264
0,1800,8,0,3,477,265
0,1800,8,0,4,11,56
0,1800,8,0,5,758,172
0,1800,9,0,1,645,298
0,1800,9,0,2,211,351
0,1800,9,0,3,1066,353
0,1800,9,0,4,138,298
0,1800,9,0,5,1066,16
0,1800,10,0,1,62,333
0,1800,10,0,2,766,17
0,1800,10,0,3,455,290
0,1800,10,0,4,971,303
0,1800,10,0,5,1311,359
0,1800,11,0,1,1016,173
0,1800,11,0,2,207,114
0,1800,11,0,3,1333,308
0,1800,11,0,4,1344,377
0,1800,11,0,5,1160,105
0,2000,0,0,1,1108,20
0,2000,0,0,2,961,193
0,2000,0,0,3,18,354
0,2000,0,0,4,203,311
0,2000,0,0,5,148,10
0,2000,1,0,1,116,188
0,2000,1,0,2,1360,185
0,2000,1,0,3,921,361
0,2000,1,0,4,832,142
0,2000,1,0,5,250,381
0,2000,2,0,1,1211,288
0,2000,2,0,2,95,187
0,2000,2,0,3,1282,64
0,2000,2,0,4,950,74
0,2000,2,0,5,1336,291
0,2000,3,0,1,1508,378
0,2000,3,0,2,1332,152
0,2000,3,0,3,1531,362
0,2000,3,0,4,698,110
0,2000,3,0,5,876,339
0,2000,4,0,1,1378,377
0,2000,4,0,2,224,64
0,2000,4,0,3,656,198
0,2000,4,0,4,991,298
0,2000,4,0,5,235,379
0,2000,5,0,1,376,231
0,2000,5,0,2,818,231
0,2000,5,0,3,1273,307
0,2000,5,0,4,834,53
0,2000,5,0,5,1035,110
0,2000,6,0,1,1091,251
0,2000,6,0,2,1528,38
0,2000,6,0,3,1087,193
0,2000,6,0,4,432,163
0,2000,6,0,5,991,247
0,2000,7,0,1,717,341
0,2000,7,0,2,1460,264
