Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,11,0,1,52,1411
0,0,11,0,2,313,1411
0,0,11,0,3,87,1411
0,0,11,0,4,153,1411
0,0,11,0,5,150,1411
0,0,10,0,1,150,233
0,0,10,0,2,313,233
0,0,10,0,3,87,233
0,0,10,0,4,87,1068
0,0,10,0,5,150,904
0,0,9,0,1,313,338
0,0,9,0,2,87,338
0,0,9,0,3,150,1438
0,0,9,0,4,87,188
0,0,9,0,5,52,242
0,0,8,0,1,219,448
0,0,8,0,2,150,277
0,0,8,0,3,150,449
0,0,8,0,4,219,623
0,0,8,0,5,313,449
0,0,7,0,1,283,1411
0,0,7,0,2,61,1411
0,0,7,0,3,229,1411
0,0,7,0,4,196,1411
0,0,7,0,5,225,1411
0,0,6,0,1,150,113
0,0,6,0,2,289,113
0,0,6,0,3,150,354
0,0,6,0,4,377,113
0,0,6,0,5,289,354
0,0,5,0,1,289,882
0,0,5,0,2,283,367
0,0,5,0,3,87,1162
0,0,5,0,4,283,882
0,0,5,0,5,219,1162
0,0,4,0,1,336,525
0,0,4,0,2,134,525
0,0,4,0,3,52,525
0,0,4,0,4,336,702
0,0,4,0,5,299,525
0,0,3,0,1,87,858
0,0,3,0,2,291,858
0,0,3,0,3,336,665
0,0,3,0,4,312,665
0,0,3,0,5,87,665
0,0,2,0,1,4,86
0,0,2,0,2,51,86
0,0,2,0,3,51,1102
0,0,2,0,4,215,86
0,0,2,0,5,215,1313
0,0,1,0,1,244,1514
0,0,1,0,2,51,1514
0,0,1,0,3,361,1514
0,0,1,0,4,169,1514
0,0,1,0,5,310,1514
0,0,0,0,1,204,1407
0,0,0,0,2,235,1407
0,0,0,0,3,289,187
0,0,0,0,4,289,975
0,0,0,0,5,321,1422
0,200,11,0,1,119,1411
0,200,11,0,2,310,1263
0,200,11,0,3,119,1263
0,200,11,0,4,310,1411
0,200,11,0,5,43,1411
0,200,10,0,1,310,522
0,200,10,0,2,310,778
0,200,10,0,3,310,1375
0,200,10,0,4,310,56
0,200,10,0,5,310,110
0,200,9,0,1,310,166
0,200,9,0,2,119,166
0,200,9,0,3,310,338
0,200,9,0,4,310,1025
0,200,9,0,5,108,338
