Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,100,0,1,5,359
0,0,100,0,2,14,359
0,0,100,0,3,15,148
0,0,100,0,4,18,90
0,0,100,0,5,13,188
0,200,100,0,1,18,32
0,200,100,0,2,11,372
0,200,100,0,3,17,349
0,200,100,0,4,7,359
0,200,100,0,5,19,367
0,400,100,0,1,8,150
0,400,100,0,2,18,104
0,400,100,0,3,1,104
0,400,100,0,4,4,336
0,400,100,0,5,13,328
0,600,100,0,1,14,343
0,600,100,0,2,3,71
0,600,100,0,3,8,150
0,600,100,0,4,2,186
0,600,100,0,5,17,156
0,800,100,0,1,6,122
0,800,100,0,2,18,237
0,800,100,0,3,1,237
0,800,100,0,4,16,374
0,800,100,0,5,13,122
0,1000,100,0,1,1,108
0,1000,100,0,2,0,340
0,1000,100,0,3,8,272
0,1000,100,0,4,12,274
0,1000,100,0,5,13,99
0,1200,100,0,1,18,35
0,1200,100,0,2,12,353
0,1200,100,0,3,9,12
0,1200,100,0,4,7,19
0,1200,100,0,5,14,380
0,1400,100,0,1,14,330
0,1400,100,0,2,0,174
0,1400,100,0,3,4,127
0,1400,100,0,4,4,134
0,1400,100,0,5,15,127
0,1600,100,0,1,7,376
0,1600,100,0,2,7,112
0,1600,100,0,3,12,79
0,1600,100,0,4,13,110
0,1600,100,0,5,17,150
0,1800,100,0,1,0,58
0,1800,100,0,2,0,155
0,1800,100,0,3,9,266
0,1800,100,0,4,19,155
0,1800,100,0,5,18,227
0,2000,100,0,1,19,84
0,2000,100,0,2,11,137
0,2000,100,0,3,8,137
0,2000,100,0,4,10,187
0,2000,100,0,5,19,194
0,2200,100,0,1,9,333
0,2200,100,0,2,4,377
0,2200,100,0,3,15,377
0,2200,100,0,4,12,47
0,2200,100,0,5,10,333
0,2400,100,0,1,18,126
0,2400,100,0,2,1,126
0,2400,100,0,3,18,279
0,2400,100,0,4,14,254
0,2400,100,0,5,3,105
0,2600,100,0,1,6,158
0,2600,100,0,2,8,299
0,2600,100,0,3,13,28
0,2600,100,0,4,13,158
0,2600,100,0,5,3,82
0,2800,100,0,1,5,380
0,2800,100,0,2,14,380
0,2800,100,0,3,4,180
0,2800,100,0,4,4,285
0,2800,100,0,5,15,285
0,3000,100,0,1,11,340
0,3000,100,0,2,12,126
0,3000,100,0,3,12,310
0,3000,100,0,4,0,223
0,3000,100,0,5,8,340
0,3200,100,0,1,10,373
0,3200,100,0,2,9,373
0,3200,100,0,3,17,80
0,3200,100,0,4,2,80
0,3200,100,0,5,10,124
0,3400,100,0,1,10,274
0,3400,100,0,2,10,177
0,3400,100,0,3,17,321
0,3400,100,0,4,4,58
0,3400,100,0,5,19,139
0,3600,100,0,1,6,274
0,3600,100,0,2,19,192
0,3600,100,0,3,6,116
0,3600,100,0,4,13,240
0,3600,100,0,5,13,143
0,3800,100,0,1,16,321
0,3800,100,0,2,18,271
0,3800,100,0,3,14,88
0,3800,100,0,4,16,280
0,3800,100,0,5,18,137
0,4000,100,0,1,15,208
0,4000,100,0,2,3,383
0,4000,100,0,3,8,57
0,4000,100,0,4,16,383
0,4000,100,0,5,4,208
0,4200,100,0,1,12,111
0,4200,100,0,2,7,111
0,4200,100,0,3,10,319
0,4200,100,0,4,8,211
0,4200,100,0,5,7,181
0,4400,100,0,1,14,192
0,4400,100,0,2,5,192
0,4400,100,0,3,19,262
0,4400,100,0,4,0,262
0,4400,100,0,5,1,208
0,4600,100,0,1,8,83
0,4600,100,0,2,15,303
0,4600,100,0,3,4,303
0,4600,100,0,4,9,374
0,4600,100,0,5,1,186
0,4800,100,0,1,12,167
0,4800,100,0,2,8,276
0,4800,100,0,3,10,173
0,4800,100,0,4,7,134
0,4800,100,0,5,10,122
0,5000,100,0,1,7,298
0,5000,100,0,2,12,298
0,5000,100,0,3,17,89
0,5000,100,0,4,2,340
0,5000,100,0,5,2,89
0,5200,100,0,1,7,287
0,5200,100,0,2,2,340
0,5200,100,0,3,17,340
0,5200,100,0,4,12,287
0,5200,100,0,5,16,374
0,5400,100,0,1,16,186
0,5400,100,0,2,0,310
0,5400,100,0,3,2,364
0,5400,100,0,4,17,364
0,5400,100,0,5,19,310
0,5600,100,0,1,17,272
0,5600,100,0,2,8,186
0,5600,100,0,3,19,368
0,5600,100,0,4,1,115
0,5600,100,0,5,4,177
0,5800,100,0,1,19,328
0,5800,100,0,2,11,0
0,5800,100,0,3,13,356
0,5800,100,0,4,8,0
0,5800,100,0,5,8,250
0,6000,100,0,1,17,245
0,6000,100,0,2,2,245
0,6000,100,0,3,13,54
0,6000,100,0,4,19,344
0,6000,100,0,5,0,344
0,6200,100,0,1,4,193
0,6200,100,0,2,16,156
0,6200,100,0,3,3,156
0,6200,100,0,4,7,326
0,6200,100,0,5,15,193
0,6400,100,0,1,15,84
0,6400,100,0,2,15,91
0,6400,100,0,3,0,338
0,6400,100,0,4,15,125
0,6400,100,0,5,12,37
0,6600,100,0,1,14,1
0,6600,100,0,2,6,187
0,6600,100,0,3,11,56
0,6600,100,0,4,6,305
0,6600,100,0,5,18,301
0,6800,100,0,1,10,160
0,6800,100,0,2,6,241
0,6800,100,0,3,13,241
0,6800,100,0,4,10,89
0,6800,100,0,5,9,89
0,7000,100,0,1,5,18
0,7000,100,0,2,0,80
0,7000,100,0,3,3,33
0,7000,100,0,4,4,32
0,7000,100,0,5,9,37
0,7200,100,0,1,12,27
0,7200,100,0,2,7,27
0,7200,100,0,3,4,89
0,7200,100,0,4,15,89
0,7200,100,0,5,7,215
0,7400,100,0,1,1,143
0,7400,100,0,2,18,143
0,7400,100,0,3,2,298
0,7400,100,0,4,17,298
0,7400,100,0,5,1,336
0,7600,100,0,1,18,48
0,7600,100,0,2,1,48
0,7600,100,0,3,14,183
0,7600,100,0,4,12,72
0,7600,100,0,5,5,183
0,7800,100,0,1,19,118
0,7800,100,0,2,0,118
0,7800,100,0,3,5,315
0,7800,100,0,4,14,315
0,7800,100,0,5,13,287
0,8000,100,0,1,16,32
0,8000,100,0,2,7,285
0,8000,100,0,3,13,142
0,8000,100,0,4,15,171
0,8000,100,0,5,4,359
0,8200,100,0,1,2,373
0,8200,100,0,2,10,70
0,8200,100,0,3,17,373
0,8200,100,0,4,11,69
0,8200,100,0,5,3,56
0,8400,100,0,1,7,340
0,8400,100,0,2,12,340
0,8400,100,0,3,10,371
0,8400,100,0,4,2,116
0,8400,100,0,5,15,8
0,8600,100,0,1,6,337
0,8600,100,0,2,10,245
0,8600,100,0,3,13,337
0,8600,100,0,4,19,82
0,8600,100,0,5,8,195
0,8800,100,0,1,7,160
