Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,100,0,1,2,594
0,0,100,0,2,14,599
0,0,100,0,3,6,666
0,0,100,0,4,9,440
0,0,100,0,5,10,304
0,200,100,0,1,13,860
0,200,100,0,2,0,46
0,200,100,0,3,1,231
0,200,100,0,4,3,406
0,200,100,0,5,5,922
0,400,100,0,1,11,676
0,400,100,0,2,0,219
0,400,100,0,3,10,779
0,400,100,0,4,14,274
0,400,100,0,5,17,976
0,600,100,0,1,2,713
0,600,100,0,2,3,676
0,600,100,0,3,4,531
0,600,100,0,4,6,669
0,600,100,0,5,7,381
0,800,100,0,1,15,292
0,800,100,0,2,3,100
0,800,100,0,3,4,456
0,800,100,0,4,8,307
0,800,100,0,5,9,594
0,1000,100,0,1,16,814
0,1000,100,0,2,0,118
0,1000,100,0,3,2,533
0,1000,100,0,4,3,95
0,1000,100,0,5,4,412
0,1200,100,0,1,7,715
0,1200,100,0,2,12,262
0,1200,100,0,3,13,611
0,1200,100,0,4,14,759
0,1200,100,0,5,0,215
0,1400,100,0,1,4,505
0,1400,100,0,2,0,777
0,1400,100,0,3,9,337
0,1400,100,0,4,14,75
0,1400,100,0,5,1,611
0,1600,100,0,1,1,337
0,1600,100,0,2,3,45
0,1600,100,0,3,4,279
0,1600,100,0,4,12,699
0,1600,100,0,5,13,184
0,1800,100,0,1,5,364
0,1800,100,0,2,14,561
0,1800,100,0,3,18,146
0,1800,100,0,4,0,836
0,1800,100,0,5,1,954
0,2000,100,0,1,5,608
0,2000,100,0,2,9,364
0,2000,100,0,3,0,113
0,2000,100,0,4,1,565
0,2000,100,0,5,2,5
0,2200,100,0,1,4,714
0,2200,100,0,2,8,458
0,2200,100,0,3,14,175
0,2200,100,0,4,2,755
0,2200,100,0,5,12,800
0,2400,100,0,1,1,127
0,2400,100,0,2,8,818
0,2400,100,0,3,10,931
0,2400,100,0,4,12,172
0,2400,100,0,5,19,421
0,2600,100,0,1,0,500
0,2600,100,0,2,2,395
0,2600,100,0,3,4,832
0,2600,100,0,4,5,743
0,2600,100,0,5,6,691
0,2800,100,0,1,10,987
0,2800,100,0,2,1,914
0,2800,100,0,3,2,796
0,2800,100,0,4,7,961
0,2800,100,0,5,8,357
0,3000,100,0,1,1,778
0,3000,100,0,2,2,100
0,3000,100,0,3,3,715
0,3000,100,0,4,4,486
0,3000,100,0,5,6,962
0,3200,100,0,1,6,594
0,3200,100,0,2,8,669
0,3200,100,0,3,10,733
0,3200,100,0,4,4,33
0,3200,100,0,5,7,214
0,3400,100,0,1,6,954
0,3400,100,0,2,10,67
0,3400,100,0,3,12,678
0,3400,100,0,4,14,113
0,3400,100,0,5,17,296
0,3600,100,0,1,2,186
0,3600,100,0,2,6,102
0,3600,100,0,3,8,474
0,3600,100,0,4,17,514
0,3600,100,0,5,1,671
0,3800,100,0,1,1,571
