Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,0,0,1,9,97
0,0,0,0,2,1,229
0,0,0,0,3,2,229
0,0,0,0,4,3,229
0,0,0,0,5,4,229
0,0,0,1,1,1,229
0,0,0,1,2,2,229
0,0,0,1,3,3,229
0,0,0,1,4,4,229
0,0,0,1,5,192,229
0,0,0,2,1,137,229
0,0,0,2,2,85,229
0,0,0,2,3,85,97
0,0,0,2,4,98,229
0,0,0,2,5,1,229
0,0,0,3,1,169,270
0,0,0,3,2,168,282
0,0,0,3,3,170,270
0,0,0,3,4,183,270
0,0,0,3,5,169,282
0,0,0,4,1,40,229
0,0,0,4,2,39,229
0,0,0,4,3,53,229
0,0,0,4,4,40,97
0,0,0,4,5,39,97
0,0,0,5,1,163,229
0,0,0,5,2,149,229
0,0,0,5,3,187,229
0,0,0,5,4,174,229
0,0,0,5,5,177,229
0,0,0,6,1,131,229
0,0,0,6,2,5,229
0,0,0,6,3,87,229
0,0,0,6,4,89,229
0,0,0,6,5,88,229
0,0,0,7,1,6,229
0,0,0,7,2,21,229
0,0,0,7,3,142,97
0,0,0,7,4,142,229
0,0,0,7,5,25,229
0,0,0,8,1,96,229
0,0,0,8,2,117,229
0,0,0,8,3,110,229
0,0,0,8,4,90,229
0,0,0,8,5,131,229
0,0,0,9,1,18,229
0,0,0,9,2,144,229
0,0,0,9,3,172,106
0,0,0,9,4,130,229
0,0,0,9,5,32,307
0,0,0,10,1,32,307
0,0,0,10,2,18,229
0,0,0,10,3,172,106
0,0,0,10,4,158,106
0,0,0,10,5,60,307
0,0,0,11,1,96,229
0,0,0,11,2,117,229
0,0,0,11,3,110,229
0,0,0,11,4,196,229
0,0,0,11,5,90,229
0,0,0,12,1,6,229
0,0,0,12,2,21,229
0,0,0,12,3,5,229
0,0,0,12,4,25,229
0,0,0,12,5,20,229
0,0,0,13,1,131,229
0,0,0,13,2,87,229
0,0,0,13,3,88,229
0,0,0,13,4,5,229
0,0,0,13,5,10,229
0,0,0,14,1,163,229
0,0,0,14,2,149,229
0,0,0,14,3,174,229
0,0,0,14,4,187,229
0,0,0,14,5,177,229
0,0,0,15,1,40,229
0,0,0,15,2,39,229
0,0,0,15,3,39,97
0,0,0,15,4,40,97
0,0,0,15,5,53,229
0,0,0,16,1,169,282
0,0,0,16,2,183,270
0,0,0,16,3,169,270
0,0,0,16,4,168,282
0,0,0,16,5,169,350
0,0,0,17,1,137,229
0,0,0,17,2,85,229
0,0,0,17,3,98,229
0,0,0,17,4,85,97
0,0,0,17,5,1,229
0,0,0,18,1,1,229
0,0,0,18,2,2,229
0,0,0,18,3,3,229
0,0,0,18,4,4,229
0,0,0,18,5,1,97
0,0,0,19,1,9,97
0,0,0,19,2,146,97
0,0,0,19,3,1,229
0,0,0,19,4,2,229
0,0,0,19,5,3,229
0,0,1,0,1,43,289
0,0,1,0,2,9,97
0,0,1,0,3,68,282
0,0,1,0,4,91,289
0,0,1,0,5,68,289
0,0,1,1,1,1,229
0,0,1,1,2,2,229
0,0,1,1,3,3,229
0,0,1,1,4,4,229
0,0,1,1,5,153,95
0,0,1,2,1,137,229
0,0,1,2,2,85,97
0,0,1,2,3,151,97
0,0,1,2,4,85,229
0,0,1,2,5,71,97
0,0,1,3,1,169,270
0,0,1,3,2,170,270
0,0,1,3,3,183,270
0,0,1,3,4,171,270
0,0,1,3,5,169,350
0,0,1,4,1,40,229
0,0,1,4,2,39,229
0,0,1,4,3,40,97
0,0,1,4,4,39,97
0,0,1,4,5,53,229
0,0,1,5,1,163,229
0,0,1,5,2,149,229
0,0,1,5,3,187,229
0,0,1,5,4,177,229
0,0,1,5,5,174,229
0,0,1,6,1,131,229
0,0,1,6,2,87,229
0,0,1,6,3,117,229
0,0,1,6,4,88,229
0,0,1,6,5,89,229
0,0,1,7,1,142,97
0,0,1,7,2,142,229
0,0,1,7,3,6,229
0,0,1,7,4,25,229
0,0,1,7,5,114,97
0,0,1,8,1,96,229
0,0,1,8,2,117,229
0,0,1,8,3,110,229
0,0,1,8,4,90,229
0,0,1,8,5,196,229
0,0,1,9,1,144,229
0,0,1,9,2,18,229
0,0,1,9,3,18,97
0,0,1,9,4,130,229
0,0,1,9,5,130,357
0,0,1,10,1,144,90
0,0,1,10,2,18,229
0,0,1,10,3,18,168
0,0,1,10,4,144,229
0,0,1,10,5,130,357
0,0,1,11,1,96,229
0,0,1,11,2,117,229
0,0,1,11,3,110,229
0,0,1,11,4,196,229
0,0,1,11,5,90,229
0,0,1,12,1,5,229
0,0,1,12,2,6,229
0,0,1,12,3,21,229
0,0,1,12,4,142,97
0,0,1,12,5,25,229
0,0,1,13,1,131,229
0,0,1,13,2,10,229
0,0,1,13,3,74,229
0,0,1,13,4,87,229
0,0,1,13,5,88,229
0,0,1,14,1,149,229
0,0,1,14,2,163,229
0,0,1,14,3,174,229
0,0,1,14,4,177,229
0,0,1,14,5,177,97
0,0,1,15,1,40,229
0,0,1,15,2,39,229
0,0,1,15,3,39,97
0,0,1,15,4,40,97
0,0,1,15,5,53,229
0,0,1,16,1,169,270
0,0,1,16,2,170,270
0,0,1,16,3,183,270
0,0,1,16,4,169,282
0,0,1,16,5,168,270
0,0,1,17,1,137,229
0,0,1,17,2,151,97
0,0,1,17,3,85,97
0,0,1,17,4,85,229
0,0,1,17,5,98,229
0,0,1,18,1,1,229
0,0,1,18,2,2,229
0,0,1,18,3,3,229
0,0,1,18,4,4,229
0,0,1,18,5,151,219
0,0,1,19,1,9,97
0,0,1,19,2,7,97
0,0,1,19,3,177,97
0,0,1,19,4,146,97
0,0,1,19,5,43,289
0,0,2,0,1,43,289
0,0,2,0,2,91,289
0,0,2,0,3,68,289
0,0,2,0,4,42,289
0,0,2,0,5,98,289
0,0,2,1,1,153,95
0,0,2,1,2,52,289
0,0,2,1,3,148,289
0,0,2,1,4,122,140
0,0,2,1,5,119,289
0,0,2,2,1,137,229
0,0,2,2,2,98,229
0,0,2,2,3,85,229
0,0,2,2,4,95,229
0,0,2,2,5,71,229
0,0,2,3,1,169,270
0,0,2,3,2,170,270
0,0,2,3,3,171,270
0,0,2,3,4,183,270
0,0,2,3,5,168,270
0,0,2,4,1,40,229
0,0,2,4,2,39,229
0,0,2,4,3,53,229
0,0,2,4,4,38,229
0,0,2,4,5,39,97
0,0,2,5,1,149,229
0,0,2,5,2,187,97
0,0,2,5,3,187,229
0,0,2,5,4,177,229
0,0,2,5,5,163,97
0,0,2,6,1,131,229
0,0,2,6,2,87,229
0,0,2,6,3,5,229
0,0,2,6,4,89,229
0,0,2,6,5,117,229
0,0,2,7,1,142,97
0,0,2,7,2,6,229
0,0,2,7,3,29,236
0,0,2,7,4,27,354
0,0,2,7,5,28,97
0,0,2,8,1,96,229
0,0,2,8,2,117,229
0,0,2,8,3,90,229
0,0,2,8,4,110,229
0,0,2,8,5,196,229
0,0,2,9,1,172,6
0,0,2,9,2,144,90
0,0,2,9,3,102,307
0,0,2,9,4,74,307
0,0,2,9,5,18,90
0,0,2,10,1,144,90
0,0,2,10,2,102,307
0,0,2,10,3,116,307
0,0,2,10,4,32,307
0,0,2,10,5,130,90
0,0,2,11,1,96,229
0,0,2,11,2,110,229
0,0,2,11,3,117,229
0,0,2,11,4,196,229
0,0,2,11,5,90,229
0,0,2,12,1,5,229
0,0,2,12,2,27,354
0,0,2,12,3,6,229
0,0,2,12,4,21,229
0,0,2,12,5,7,229
0,0,2,13,1,131,229
0,0,2,13,2,10,229
0,0,2,13,3,74,229
0,0,2,13,4,88,229
0,0,2,13,5,117,229
0,0,2,14,1,174,229
0,0,2,14,2,163,229
0,0,2,14,3,149,229
0,0,2,14,4,177,229
0,0,2,14,5,163,97
0,0,2,15,1,40,229
0,0,2,15,2,39,229
0,0,2,15,3,53,229
0,0,2,15,4,39,97
0,0,2,15,5,40,97
0,0,2,16,1,170,270
0,0,2,16,2,169,270
0,0,2,16,3,168,270
0,0,2,16,4,170,236
0,0,2,16,5,171,236
0,0,2,17,1,137,229
0,0,2,17,2,85,229
0,0,2,17,3,98,229
0,0,2,17,4,151,97
0,0,2,17,5,85,97
0,0,2,18,1,153,95
0,0,2,18,2,191,289
0,0,2,18,3,5,140
0,0,2,18,4,148,289
0,0,2,18,5,162,289
0,0,2,19,1,79,289
0,0,2,19,2,52,140
0,0,2,19,3,43,289
0,0,2,19,4,98,289
0,0,2,19,5,31,139
0,0,3,0,1,43,289
0,0,3,0,2,79,289
0,0,3,0,3,42,289
0,0,3,0,4,68,289
0,0,3,0,5,91,289
0,0,3,1,1,148,289
0,0,3,1,2,72,37
0,0,3,1,3,93,140
0,0,3,1,4,71,140
0,0,3,1,5,122,140
0,0,3,2,1,137,229
0,0,3,2,2,1,140
0,0,3,2,3,2,140
0,0,3,2,4,3,140
0,0,3,2,5,4,140
0,0,3,3,1,169,270
0,0,3,3,2,170,270
0,0,3,3,3,171,270
0,0,3,3,4,183,270
0,0,3,3,5,168,270
0,0,3,4,1,40,229
0,0,3,4,2,39,229
0,0,3,4,3,53,229
0,0,3,4,4,141,37
0,0,3,4,5,100,209
0,0,3,5,1,149,229
0,0,3,5,2,166,168
0,0,3,5,3,187,97
0,0,3,5,4,187,229
0,0,3,5,5,7,168
0,0,3,6,1,75,289
0,0,3,6,2,131,270
0,0,3,6,3,145,140
0,0,3,6,4,131,209
0,0,3,6,5,5,270
0,0,3,7,1,127,307
0,0,3,7,2,114,307
0,0,3,7,3,142,97
0,0,3,7,4,6,229
0,0,3,7,5,43,140
0,0,3,8,1,117,229
0,0,3,8,2,90,229
0,0,3,8,3,196,229
0,0,3,8,4,96,229
0,0,3,8,5,125,289
0,0,3,9,1,74,307
0,0,3,9,2,102,307
0,0,3,9,3,32,307
0,0,3,9,4,60,307
0,0,3,9,5,116,307
0,0,3,10,1,116,307
0,0,3,10,2,102,307
0,0,3,10,3,32,307
0,0,3,10,4,46,307
0,0,3,10,5,60,307
0,0,3,11,1,96,229
0,0,3,11,2,116,229
0,0,3,11,3,117,229
0,0,3,11,4,90,97
0,0,3,11,5,196,229
0,0,3,12,1,5,229
0,0,3,12,2,6,229
0,0,3,12,3,21,229
0,0,3,12,4,25,229
0,0,3,12,5,7,229
0,0,3,13,1,145,140
0,0,3,13,2,131,229
0,0,3,13,3,131,270
0,0,3,13,4,5,209
0,0,3,13,5,9,209
0,0,3,14,1,174,229
0,0,3,14,2,163,229
0,0,3,14,3,149,229
0,0,3,14,4,163,97
0,0,3,14,5,188,97
0,0,3,15,1,40,229
0,0,3,15,2,39,229
0,0,3,15,3,39,97
0,0,3,15,4,40,97
0,0,3,15,5,53,97
0,0,3,16,1,170,270
0,0,3,16,2,169,270
0,0,3,16,3,168,270
0,0,3,16,4,183,270
0,0,3,16,5,169,354
0,0,3,17,1,151,97
0,0,3,17,2,85,229
0,0,3,17,3,171,140
0,0,3,17,4,85,97
0,0,3,17,5,98,229
0,0,3,18,1,0,37
0,0,3,18,2,113,37
0,0,3,18,3,15,140
0,0,3,18,4,72,37
0,0,3,18,5,148,289
0,0,3,19,1,91,209
0,0,3,19,2,79,289
0,0,3,19,3,90,209
0,0,3,19,4,43,289
0,0,3,19,5,52,140
0,0,4,0,1,43,289
0,0,4,0,2,102,208
0,0,4,0,3,89,208
0,0,4,0,4,125,208
0,0,4,0,5,113,208
