Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,0,0,1,45,187
0,0,0,0,2,36,165
0,0,0,0,3,198,53
0,0,0,0,4,135,31
0,0,0,0,5,102,1089
0,0,0,1,1,26,1387
0,0,0,1,2,83,444
0,0,0,1,3,26,1342
0,0,0,1,4,126,698
0,0,0,1,5,15,1068
0,0,0,2,1,114,622
0,0,0,2,2,111,1052
0,0,0,2,3,145,622
0,0,0,2,4,108,187
0,0,0,2,5,39,594
0,0,0,3,1,72,975
0,0,0,3,2,189,975
0,0,0,3,3,175,975
0,0,0,3,4,122,975
0,0,0,3,5,195,204
0,0,0,4,1,192,514
0,0,0,4,2,128,494
0,0,0,4,3,26,204
0,0,0,4,4,110,1193
0,0,0,4,5,195,76
0,0,0,5,1,170,204
0,0,0,5,2,130,1368
0,0,0,5,3,57,1368
0,0,0,5,4,97,699
0,0,0,5,5,136,465
0,0,0,6,1,200,1215
0,0,0,6,2,184,230
0,0,0,6,3,121,204
0,0,0,6,4,150,95
0,0,0,6,5,169,98
0,0,0,7,1,59,204
0,0,0,7,2,97,80
0,0,0,7,3,26,532
0,0,0,7,4,76,204
0,0,0,7,5,168,204
0,0,0,8,1,153,1064
0,0,0,8,2,168,580
0,0,0,8,3,102,204
0,0,0,8,4,112,320
0,0,0,8,5,142,465
0,0,0,9,1,197,1298
0,0,0,9,2,130,580
0,0,0,9,3,144,580
0,0,0,9,4,157,1147
0,0,0,9,5,127,580
0,0,0,10,1,130,580
0,0,0,10,2,102,580
0,0,0,10,3,60,580
0,0,0,10,4,88,580
0,0,0,10,5,197,1298
0,0,0,11,1,112,320
0,0,0,11,2,106,1422
0,0,0,11,3,91,320
0,0,0,11,4,169,1407
0,0,0,11,5,97,320
0,0,0,12,1,97,80
0,0,0,12,2,59,204
0,0,0,12,3,171,204
0,0,0,12,4,143,204
0,0,0,12,5,168,204
0,0,0,13,1,177,53
0,0,0,13,2,73,531
0,0,0,13,3,171,69
0,0,0,13,4,121,1191
0,0,0,13,5,177,369
0,0,0,14,1,70,1454
0,0,0,14,2,143,1454
0,0,0,14,3,169,404
0,0,0,14,4,170,204
0,0,0,14,5,54,1441
0,0,0,15,1,128,494
0,0,0,15,2,26,204
0,0,0,15,3,53,204
0,0,0,15,4,197,531
0,0,0,15,5,110,1193
0,0,0,16,1,199,204
0,0,0,16,2,66,975
0,0,0,16,3,87,975
0,0,0,16,4,145,1367
0,0,0,16,5,72,975
0,0,0,17,1,145,622
0,0,0,17,2,147,611
0,0,0,17,3,114,622
0,0,0,17,4,87,721
0,0,0,17,5,149,204
0,0,0,18,1,26,1387
0,0,0,18,2,15,1068
0,0,0,18,3,83,444
0,0,0,18,4,26,1342
0,0,0,18,5,126,698
0,0,0,19,1,102,1089
0,0,0,19,2,45,187
0,0,0,19,3,135,31
0,0,0,19,4,36,165
0,0,0,19,5,54,728
0,0,1,0,1,13,1394
0,0,1,0,2,179,1267
0,0,1,0,3,127,217
0,0,1,0,4,64,1410
0,0,1,0,5,186,1267
0,0,1,1,1,43,1237
0,0,1,1,2,6,1237
0,0,1,1,3,97,1514
0,0,1,1,4,71,1237
0,0,1,1,5,122,1237
0,0,1,2,1,176,1231
0,0,1,2,2,174,300
0,0,1,2,3,52,934
0,0,1,2,4,97,753
0,0,1,2,5,92,603
0,0,1,3,1,199,753
0,0,1,3,2,180,1490
0,0,1,3,3,197,1123
0,0,1,3,4,195,1123
0,0,1,3,5,199,1123
0,0,1,4,1,35,137
0,0,1,4,2,195,1187
0,0,1,4,3,128,1403
0,0,1,4,4,24,1267
0,0,1,4,5,25,279
0,0,1,5,1,54,779
0,0,1,5,2,18,1416
0,0,1,5,3,21,1416
0,0,1,5,4,25,779
0,0,1,5,5,44,385
0,0,1,6,1,168,1173
0,0,1,6,2,180,1237
0,0,1,6,3,53,1237
0,0,1,6,4,67,778
0,0,1,6,5,136,2
0,0,1,7,1,68,233
0,0,1,7,2,48,300
0,0,1,7,3,123,90
0,0,1,7,4,45,1324
0,0,1,7,5,54,779
0,0,1,8,1,113,385
0,0,1,8,2,75,348
0,0,1,8,3,7,385
0,0,1,8,4,42,385
0,0,1,8,5,100,884
0,0,1,9,1,102,1067
0,0,1,9,2,60,1067
0,0,1,9,3,74,1067
0,0,1,9,4,156,723
0,0,1,9,5,142,502
0,0,1,10,1,127,723
0,0,1,10,2,130,1067
0,0,1,10,3,139,816
0,0,1,10,4,125,723
0,0,1,10,5,182,292
0,0,1,11,1,180,385
0,0,1,11,2,113,385
0,0,1,11,3,132,1237
0,0,1,11,4,127,1477
0,0,1,11,5,106,35
0,0,1,12,1,52,1025
