Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,0,0,1,175,176
0,0,0,0,2,47,234
0,0,0,0,3,170,220
0,0,0,0,4,146,314
0,0,0,0,5,22,298
0,0,0,1,1,136,136
0,0,0,1,2,119,234
0,0,0,1,3,134,298
0,0,0,1,4,149,298
0,0,0,1,5,12,73
0,0,0,2,1,61,171
0,0,0,2,2,48,171
0,0,0,2,3,6,126
0,0,0,2,4,22,126
0,0,0,2,5,82,239
0,0,0,3,1,147,328
0,0,0,3,2,34,328
0,0,0,3,3,146,328
0,0,0,3,4,199,171
0,0,0,3,5,163,328
0,0,0,4,1,77,126
0,0,0,4,2,95,314
0,0,0,4,3,82,314
0,0,0,4,4,172,234
0,0,0,4,5,161,314
0,0,0,5,1,22,126
0,0,0,5,2,77,307
0,0,0,5,3,149,101
0,0,0,5,4,6,352
0,0,0,5,5,68,145
0,0,0,6,1,168,234
0,0,0,6,2,181,126
0,0,0,6,3,154,320
0,0,0,6,4,63,81
0,0,0,6,5,111,171
0,0,0,7,1,110,196
0,0,0,7,2,113,375
0,0,0,7,3,175,86
0,0,0,7,4,32,113
0,0,0,7,5,171,231
0,0,0,8,1,102,171
0,0,0,8,2,120,123
0,0,0,8,3,86,101
0,0,0,8,4,121,223
0,0,0,8,5,76,212
0,0,0,9,1,182,205
0,0,0,9,2,88,171
0,0,0,9,3,127,171
0,0,0,9,4,161,171
0,0,0,9,5,54,171
0,0,0,10,1,170,73
0,0,0,10,2,46,171
0,0,0,10,3,176,328
0,0,0,10,4,170,288
0,0,0,10,5,74,171
0,0,0,11,1,102,171
0,0,0,11,2,183,171
0,0,0,11,3,191,136
0,0,0,11,4,128,314
0,0,0,11,5,166,190
0,0,0,12,1,123,231
0,0,0,12,2,117,126
0,0,0,12,3,193,180
0,0,0,12,4,148,203
0,0,0,12,5,50,268
0,0,0,13,1,189,73
0,0,0,13,2,140,171
0,0,0,13,3,41,234
0,0,0,13,4,174,325
0,0,0,13,5,39,234
0,0,0,14,1,185,309
0,0,0,14,2,6,352
0,0,0,14,3,53,352
0,0,0,14,4,7,329
0,0,0,14,5,22,126
0,0,0,15,1,78,171
0,0,0,15,2,120,368
0,0,0,15,3,55,344
0,0,0,15,4,75,344
0,0,0,15,5,154,375
0,0,0,16,1,86,126
0,0,0,16,2,118,328
0,0,0,16,3,161,328
0,0,0,16,4,163,328
0,0,0,16,5,30,126
0,0,0,17,1,61,171
0,0,0,17,2,55,315
0,0,0,17,3,22,126
0,0,0,17,4,23,171
0,0,0,17,5,108,171
0,0,0,18,1,105,252
0,0,0,18,2,178,298
0,0,0,18,3,6,126
0,0,0,18,4,50,314
0,0,0,18,5,77,344
0,0,0,19,1,47,234
0,0,0,19,2,27,368
0,0,0,19,3,132,171
0,0,0,19,4,179,171
0,0,0,19,5,59,171
0,0,1,0,1,167,290
0,0,1,0,2,186,210
0,0,1,0,3,180,210
0,0,1,0,4,38,274
0,0,1,0,5,169,290
0,0,1,1,1,153,32
0,0,1,1,2,154,167
0,0,1,1,3,46,190
0,0,1,1,4,100,64
0,0,1,1,5,86,64
0,0,1,2,1,37,322
0,0,1,2,2,154,252
0,0,1,2,3,114,175
0,0,1,2,4,86,226
0,0,1,2,5,127,226
0,0,1,3,1,128,180
0,0,1,3,2,32,29
0,0,1,3,3,118,342
0,0,1,3,4,83,331
0,0,1,3,5,99,171
0,0,1,4,1,55,14
0,0,1,4,2,27,11
0,0,1,4,3,65,290
0,0,1,4,4,198,98
0,0,1,4,5,199,210
0,0,1,5,1,42,29
0,0,1,5,2,134,250
0,0,1,5,3,19,190
0,0,1,5,4,99,346
0,0,1,5,5,20,190
0,0,1,6,1,185,257
0,0,1,6,2,59,8
0,0,1,6,3,165,272
0,0,1,6,4,182,11
0,0,1,6,5,92,363
0,0,1,7,1,193,190
0,0,1,7,2,95,236
0,0,1,7,3,173,152
0,0,1,7,4,5,339
0,0,1,7,5,108,252
0,0,1,8,1,146,279
0,0,1,8,2,143,250
0,0,1,8,3,154,180
0,0,1,8,4,168,266
0,0,1,8,5,94,162
0,0,1,9,1,1,339
0,0,1,9,2,2,339
0,0,1,9,3,3,339
0,0,1,9,4,4,339
0,0,1,9,5,155,142
0,0,1,10,1,170,265
0,0,1,10,2,155,32
0,0,1,10,3,196,175
0,0,1,10,4,1,154
0,0,1,10,5,2,154
0,0,1,11,1,175,148
0,0,1,11,2,93,196
0,0,1,11,3,172,279
0,0,1,11,4,158,14
0,0,1,11,5,189,279
0,0,1,12,1,95,236
0,0,1,12,2,33,190
0,0,1,12,3,93,252
0,0,1,12,4,68,144
0,0,1,12,5,37,339
0,0,1,13,1,188,122
0,0,1,13,2,164,175
0,0,1,13,3,64,129
0,0,1,13,4,59,8
0,0,1,13,5,166,274
0,0,1,14,1,22,342
0,0,1,14,2,42,29
0,0,1,14,3,12,190
0,0,1,14,4,93,175
0,0,1,14,5,198,115
0,0,1,15,1,85,98
0,0,1,15,2,139,252
0,0,1,15,3,49,171
0,0,1,15,4,189,196
0,0,1,15,5,55,14
0,0,1,16,1,61,342
0,0,1,16,2,90,342
0,0,1,16,3,99,179
0,0,1,16,4,31,175
0,0,1,16,5,128,346
0,0,1,17,1,154,252
0,0,1,17,2,124,226
0,0,1,17,3,169,29
0,0,1,17,4,13,155
0,0,1,17,5,37,322
0,0,1,18,1,153,32
0,0,1,18,2,27,190
0,0,1,18,3,93,253
0,0,1,18,4,141,290
0,0,1,18,5,28,196
0,0,1,19,1,169,196
0,0,1,19,2,156,5
0,0,1,19,3,151,210
0,0,1,19,4,67,290
0,0,1,19,5,108,290
0,0,2,0,1,25,164
0,0,2,0,2,19,164
0,0,2,0,3,178,141
0,0,2,0,4,88,164
0,0,2,0,5,30,164
0,0,2,1,1,140,56
0,0,2,1,2,105,213
0,0,2,1,3,34,141
0,0,2,1,4,24,164
0,0,2,1,5,68,164
0,0,2,2,1,44,289
0,0,2,2,2,32,40
0,0,2,2,3,113,85
0,0,2,2,4,8,59
0,0,2,2,5,86,40
0,0,2,3,1,18,82
0,0,2,3,2,144,79
0,0,2,3,3,16,365
0,0,2,3,4,44,333
0,0,2,3,5,142,167
0,0,2,4,1,41,141
0,0,2,4,2,26,141
0,0,2,4,3,70,253
0,0,2,4,4,186,253
0,0,2,4,5,103,59
0,0,2,5,1,130,167
0,0,2,5,2,116,39
0,0,2,5,3,48,39
0,0,2,5,4,37,144
0,0,2,5,5,147,173
0,0,2,6,1,178,243
0,0,2,6,2,53,253
0,0,2,6,3,118,28
0,0,2,6,4,42,253
0,0,2,6,5,48,82
0,0,2,7,1,0,365
0,0,2,7,2,84,109
0,0,2,7,3,10,250
0,0,2,7,4,83,236
0,0,2,7,5,88,167
0,0,2,8,1,120,141
0,0,2,8,2,122,205
0,0,2,8,3,85,28
0,0,2,8,4,155,140
0,0,2,8,5,100,245
0,0,2,9,1,186,20
0,0,2,9,2,188,46
0,0,2,9,3,78,145
0,0,2,9,4,140,141
0,0,2,9,5,62,141
0,0,2,10,1,171,40
0,0,2,10,2,22,104
0,0,2,10,3,152,145
0,0,2,10,4,93,141
0,0,2,10,5,128,120
0,0,2,11,1,176,141
0,0,2,11,2,140,248
0,0,2,11,3,115,39
0,0,2,11,4,134,39
0,0,2,11,5,113,82
0,0,2,12,1,0,365
0,0,2,12,2,118,120
0,0,2,12,3,31,162
0,0,2,12,4,16,162
0,0,2,12,5,127,39
0,0,2,13,1,110,59
0,0,2,13,2,147,348
0,0,2,13,3,174,253
0,0,2,13,4,169,167
0,0,2,13,5,77,253
0,0,2,14,1,183,39
0,0,2,14,2,31,167
0,0,2,14,3,130,167
0,0,2,14,4,185,5
0,0,2,14,5,101,39
0,0,2,15,1,41,141
0,0,2,15,2,24,141
0,0,2,15,3,26,141
0,0,2,15,4,159,141
0,0,2,15,5,76,59
0,0,2,16,1,31,243
0,0,2,16,2,74,120
0,0,2,16,3,180,141
0,0,2,16,4,10,333
0,0,2,16,5,128,167
0,0,2,17,1,149,40
0,0,2,17,2,123,173
0,0,2,17,3,54,173
0,0,2,17,4,124,141
0,0,2,17,5,74,160
0,0,2,18,1,105,213
0,0,2,18,2,80,213
0,0,2,18,3,140,56
0,0,2,18,4,61,56
0,0,2,18,5,53,205
0,0,2,19,1,16,141
0,0,2,19,2,199,167
0,0,2,19,3,25,164
0,0,2,19,4,152,164
0,0,2,19,5,6,141
0,0,3,0,1,119,26
0,0,3,0,2,30,188
0,0,3,0,3,74,297
0,0,3,0,4,11,297
0,0,3,0,5,86,275
0,0,3,1,1,21,297
0,0,3,1,2,27,361
0,0,3,1,3,21,361
0,0,3,1,4,50,188
0,0,3,1,5,0,188
0,0,3,2,1,156,123
0,0,3,2,2,178,140
0,0,3,2,3,1,123
0,0,3,2,4,2,123
0,0,3,2,5,3,123
0,0,3,3,1,83,123
0,0,3,3,2,70,108
0,0,3,3,3,1,123
0,0,3,3,4,2,123
0,0,3,3,5,3,123
0,0,3,4,1,34,297
0,0,3,4,2,51,297
