Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,0,0,1,64,0
0,0,0,0,2,64,1
0,0,0,0,3,64,2
0,0,0,0,4,64,3
0,0,0,0,5,64,4
0,0,1,0,1,1039,229
0,0,1,0,2,852,97
0,0,1,0,3,967,97
0,0,1,0,4,790,97
0,0,1,0,5,1075,81
0,0,2,0,1,951,97
0,0,2,0,2,951,102
0,0,2,0,3,1025,126
0,0,2,0,4,1094,126
0,0,2,0,5,951,126
0,0,3,0,1,1106,140
0,0,3,0,2,815,140
0,0,3,0,3,1055,140
0,0,3,0,4,931,140
0,0,3,0,5,901,140
0,0,4,0,1,801,140
0,0,4,0,2,947,140
0,0,4,0,3,946,140
0,0,4,0,4,799,140
0,0,4,0,5,1020,179
0,0,5,0,1,977,55
0,0,5,0,2,1127,55
0,0,5,0,3,1064,55
0,0,5,0,4,977,140
0,0,5,0,5,977,80
0,0,6,0,1,1006,55
0,0,6,0,2,1014,55
0,0,6,0,3,1006,140
0,0,6,0,4,1014,140
0,0,6,0,5,936,140
0,0,7,0,1,1025,140
0,0,7,0,2,1025,18
0,0,7,0,3,1025,252
0,0,7,0,4,1025,55
0,0,7,0,5,1025,351
0,0,8,0,1,811,209
0,0,8,0,2,964,23
0,0,8,0,3,811,233
0,0,8,0,4,1141,209
0,0,8,0,5,811,340
0,0,9,0,1,1079,298
0,0,9,0,2,1079,252
0,0,9,0,3,1079,105
0,0,9,0,4,985,252
0,0,9,0,5,985,334
0,0,10,0,1,861,252
0,0,10,0,2,1096,209
0,0,10,0,3,872,375
0,0,10,0,4,872,252
0,0,10,0,5,1096,252
0,0,11,0,1,1044,353
0,0,11,0,2,1044,80
0,0,11,0,3,1044,252
0,0,11,0,4,1044,209
0,0,11,0,5,1044,86
0,10000,0,0,1,877,229
0,10000,0,0,2,1029,229
0,10000,0,0,3,877,236
0,10000,0,0,4,961,229
0,10000,0,0,5,989,229
0,10000,1,0,1,1073,229
0,10000,1,0,2,1042,229
0,10000,1,0,3,985,97
0,10000,1,0,4,848,229
0,10000,1,0,5,1042,42
0,10000,2,0,1,972,97
0,10000,2,0,2,893,97
0,10000,2,0,3,867,97
0,10000,2,0,4,991,97
0,10000,2,0,5,893,229
0,10000,3,0,1,1024,140
0,10000,3,0,2,1024,229
0,10000,3,0,3,1024,289
0,10000,3,0,4,1024,241
0,10000,3,0,5,994,97
0,10000,4,0,1,956,140
0,10000,4,0,2,823,140
0,10000,4,0,3,991,140
0,10000,4,0,4,961,140
0,10000,4,0,5,973,140
0,10000,5,0,1,1010,161
0,10000,5,0,2,1010,0
0,10000,5,0,3,991,0
0,10000,5,0,4,995,0
0,10000,5,0,5,1010,205
0,10000,6,0,1,965,378
0,10000,6,0,2,965,380
0,10000,6,0,3,965,83
0,10000,6,0,4,965,205
0,10000,6,0,5,965,161
0,10000,7,0,1,779,236
0,10000,7,0,2,1013,372
0,10000,7,0,3,1134,372
0,10000,7,0,4,780,372
0,10000,7,0,5,1134,351
0,10000,8,0,1,836,357
0,10000,8,0,2,954,357
0,10000,8,0,3,836,208
0,10000,8,0,4,954,84
0,10000,8,0,5,1017,318
0,10000,9,0,1,1020,357
0,10000,9,0,2,1020,84
0,10000,9,0,3,864,357
0,10000,9,0,4,1104,84
0,10000,9,0,5,864,84
0,10000,10,0,1,986,357
0,10000,10,0,2,986,22
0,10000,10,0,3,986,84
0,10000,10,0,4,977,84
0,10000,10,0,5,986,236
0,10000,11,0,1,1047,84
0,10000,11,0,2,1047,236
0,10000,11,0,3,1047,357
0,10000,11,0,4,1054,84
0,10000,11,0,5,805,208
0,0,0,0,1,64,0
0,0,0,0,2,64,1
0,0,0,0,3,64,2
0,0,0,0,4,64,3
0,0,0,0,5,64,4
0,0,1,0,1,971,229
0,0,1,0,2,971,42
0,0,1,0,3,852,97
0,0,1,0,4,1075,81
0,0,1,0,5,1075,178
0,0,2,0,1,951,97
0,0,2,0,2,951,102
0,0,2,0,3,1025,126
0,0,2,0,4,1025,246
0,0,2,0,5,1025,154
0,0,3,0,1,1106,140
0,0,3,0,2,815,140
0,0,3,0,3,931,140
0,0,3,0,4,1076,140
0,0,3,0,5,901,140
0,0,4,0,1,801,140
0,0,4,0,2,947,140
0,0,4,0,3,986,140
0,0,4,0,4,946,140
0,0,4,0,5,842,140
0,0,5,0,1,977,55
0,0,5,0,2,904,80
0,0,5,0,3,1127,55
0,0,5,0,4,1064,55
0,0,5,0,5,778,55
0,0,6,0,1,1006,55
0,0,6,0,2,1006,140
0,0,6,0,3,1014,55
0,0,6,0,4,1027,55
0,0,6,0,5,1006,252
0,0,7,0,1,1025,140
0,0,7,0,2,1025,18
0,0,7,0,3,1025,55
0,0,7,0,4,1025,351
0,0,7,0,5,1025,252
0,0,8,0,1,956,209
0,0,8,0,2,811,209
0,0,8,0,3,811,233
0,0,8,0,4,1141,209
0,0,8,0,5,811,340
0,0,9,0,1,1079,298
0,0,9,0,2,1079,252
0,0,9,0,3,1079,105
0,0,9,0,4,985,252
0,0,9,0,5,985,298
0,0,10,0,1,872,375
0,0,10,0,2,872,252
0,0,10,0,3,861,252
0,0,10,0,4,1096,209
0,0,10,0,5,1107,220
0,0,11,0,1,1044,353
0,0,11,0,2,1044,80
0,0,11,0,3,1044,252
0,0,11,0,4,1044,209
0,0,11,0,5,1044,278
