Epoch,Iteration,Block,Sample Index,Rank,Row Index,Channel Index
0,0,0,0,1,204,1407
0,0,0,0,2,235,1407
0,0,0,0,3,289,187
0,0,0,0,4,289,975
0,0,0,0,5,321,1422
0,0,1,0,1,244,1514
0,0,1,0,2,51,1514
0,0,1,0,3,361,1514
0,0,1,0,4,169,1514
0,0,1,0,5,310,1514
0,0,2,0,1,4,86
0,0,2,0,2,51,86
0,0,2,0,3,51,1102
0,0,2,0,4,215,86
0,0,2,0,5,215,1313
0,0,3,0,1,87,858
0,0,3,0,2,291,858
0,0,3,0,3,336,665
0,0,3,0,4,312,665
0,0,3,0,5,87,665
0,0,4,0,1,336,525
0,0,4,0,2,134,525
0,0,4,0,3,52,525
0,0,4,0,4,336,702
0,0,4,0,5,299,525
0,0,5,0,1,289,882
0,0,5,0,2,283,367
0,0,5,0,3,87,1162
0,0,5,0,4,283,882
0,0,5,0,5,219,1162
0,0,6,0,1,150,113
0,0,6,0,2,289,113
0,0,6,0,3,150,354
0,0,6,0,4,377,113
0,0,6,0,5,289,354
0,0,7,0,1,283,1411
0,0,7,0,2,61,1411
0,0,7,0,3,229,1411
0,0,7,0,4,196,1411
0,0,7,0,5,225,1411
0,0,8,0,1,219,448
0,0,8,0,2,150,277
0,0,8,0,3,150,449
0,0,8,0,4,219,623
0,0,8,0,5,313,449
0,0,9,0,1,313,338
0,0,9,0,2,87,338
0,0,9,0,3,150,1438
0,0,9,0,4,87,188
0,0,9,0,5,52,242
0,0,10,0,1,150,233
0,0,10,0,2,313,233
0,0,10,0,3,87,233
0,0,10,0,4,87,1068
0,0,10,0,5,150,904
0,0,11,0,1,52,1411
0,0,11,0,2,313,1411
0,0,11,0,3,87,1411
0,0,11,0,4,153,1411
0,0,11,0,5,150,1411
0,10000,0,0,1,274,129
0,10000,0,0,2,36,1204
0,10000,0,0,3,36,1001
0,10000,0,0,4,36,736
0,10000,0,0,5,274,382
0,10000,1,0,1,324,1514
0,10000,1,0,2,237,1514
0,10000,1,0,3,15,1216
0,10000,1,0,4,15,1514
0,10000,1,0,5,15,638
0,10000,2,0,1,307,1320
0,10000,2,0,2,248,1320
0,10000,2,0,3,15,1320
0,10000,2,0,4,233,1320
0,10000,2,0,5,165,1320
0,10000,3,0,1,15,341
0,10000,3,0,2,248,341
0,10000,3,0,3,237,341
0,10000,3,0,4,316,341
0,10000,3,0,5,73,341
0,10000,4,0,1,15,35
0,10000,4,0,2,15,767
0,10000,4,0,3,15,306
0,10000,4,0,4,131,767
0,10000,4,0,5,15,455
0,10000,5,0,1,76,882
0,10000,5,0,2,321,1034
0,10000,5,0,3,15,882
0,10000,5,0,4,321,1162
0,10000,5,0,5,76,1162
0,10000,6,0,1,76,336
0,10000,6,0,2,165,292
0,10000,6,0,3,321,473
0,10000,6,0,4,76,1310
0,10000,6,0,5,240,1310
0,10000,7,0,1,321,606
0,10000,7,0,2,165,490
0,10000,7,0,3,289,606
0,10000,7,0,4,240,606
0,10000,7,0,5,321,550
0,10000,8,0,1,240,370
0,10000,8,0,2,321,370
0,10000,8,0,3,279,370
0,10000,8,0,4,165,370
0,10000,8,0,5,15,370
0,10000,9,0,1,240,166
0,10000,9,0,2,240,338
0,10000,9,0,3,240,1269
0,10000,9,0,4,240,1406
0,10000,9,0,5,240,715
0,10000,10,0,1,240,56
0,10000,10,0,2,279,56
0,10000,10,0,3,237,56
0,10000,10,0,4,165,56
0,10000,10,0,5,321,56
0,10000,11,0,1,240,575
0,10000,11,0,2,240,368
0,10000,11,0,3,240,1326
0,10000,11,0,4,321,575
0,10000,11,0,5,279,575
0,0,0,0,1,289,975
0,0,0,0,2,121,1407
0,0,0,0,3,289,169
0,0,0,0,4,51,1407
0,0,0,0,5,289,187
0,0,1,0,1,244,1514
0,0,1,0,2,51,1514
0,0,1,0,3,244,137
0,0,1,0,4,108,1123
0,0,1,0,5,150,1514
0,0,2,0,1,51,1102
0,0,2,0,2,51,86
0,0,2,0,3,51,190
0,0,2,0,4,203,86
0,0,2,0,5,51,897
0,0,3,0,1,87,858
0,0,3,0,2,176,665
0,0,3,0,3,87,665
0,0,3,0,4,291,858
0,0,3,0,5,336,665
0,0,4,0,1,336,525
0,0,4,0,2,150,525
0,0,4,0,3,134,525
0,0,4,0,4,336,702
0,0,4,0,5,158,525
0,0,5,0,1,87,1162
0,0,5,0,2,150,882
0,0,5,0,3,219,1162
0,0,5,0,4,283,36
0,0,5,0,5,283,882
0,0,6,0,1,150,113
0,0,6,0,2,110,113
0,0,6,0,3,219,763
0,0,6,0,4,283,903
0,0,6,0,5,283,763
0,0,7,0,1,196,1411
0,0,7,0,2,283,1411
0,0,7,0,3,225,1411
0,0,7,0,4,233,1411
0,0,7,0,5,177,1411
0,0,8,0,1,150,449
0,0,8,0,2,313,277
0,0,8,0,3,150,277
0,0,8,0,4,110,370
0,0,8,0,5,219,448
0,0,9,0,1,313,338
0,0,9,0,2,87,338
0,0,9,0,3,87,188
0,0,9,0,4,150,1438
0,0,9,0,5,150,580
0,0,10,0,1,150,233
0,0,10,0,2,87,233
0,0,10,0,3,87,904
0,0,10,0,4,87,778
0,0,10,0,5,313,233
0,0,11,0,1,153,1411
0,0,11,0,2,52,1411
0,0,11,0,3,150,1411
0,0,11,0,4,313,1411
0,0,11,0,5,87,1411
